Date,Water Surface Elevation (ft),Volume (ac-ft)
1/1/10,"1,669.94","568,946.88"
1/2/10,"1,670.47","573,041.16"
1/3/10,"1,670.99","577,074.42"
1/4/10,"1,671.50","581,045.00"
1/5/10,"1,671.92","584,327.72"
1/6/10,"1,672.32","587,462.44"
1/7/10,"1,672.69","590,369.68"
1/8/10,"1,673.09","593,521.00"
1/9/10,"1,673.48","596,602.00"
1/10/10,"1,673.90","599,932.00"
1/11/10,"1,674.23","602,554.88"
1/12/10,"1,674.49","604,623.44"
1/13/10,"1,675.00","608,696.00"
1/14/10,"1,675.38","611,742.08"
1/15/10,"1,675.72","614,474.12"
1/16/10,"1,676.07","617,292.32"
1/17/10,"1,676.50","620,765.00"
1/18/10,"1,676.64","621,899.84"
1/19/10,"1,677.17","626,201.46"
1/20/10,"1,677.43","628,317.34"
1/21/10,"1,683.41","678,173.84"
1/22/10,"1,688.22","720,045.60"
1/23/10,"1,688.85","725,653.30"
1/24/10,"1,689.02","727,170.08"
1/25/10,"1,689.12","728,065.48"
1/26/10,"1,689.18","728,602.72"
1/27/10,"1,689.22","728,960.88"
1/28/10,"1,689.27","729,408.58"
1/29/10,"1,689.34","730,035.36"
1/30/10,"1,689.38","730,393.52"
1/31/10,"1,689.39","730,483.06"
2/1/10,"1,689.40","730,572.60"
2/2/10,"1,689.42","730,751.68"
2/3/10,"1,689.45","731,020.30"
2/4/10,"1,689.47","731,199.38"
2/5/10,"1,689.38","730,393.52"
2/6/10,"1,689.39","730,483.06"
2/7/10,"1,689.44","730,930.76"
2/8/10,"1,689.64","732,726.88"
2/9/10,"1,689.70","733,266.40"
2/10/10,"1,689.70","733,266.40"
2/11/10,"1,689.72","733,446.24"
2/12/10,"1,689.98","735,784.16"
2/13/10,"1,690.24","738,130.24"
2/14/10,"1,690.49","740,386.74"
2/15/10,"1,690.79","743,106.14"
2/16/10,"1,690.96","744,647.36"
2/17/10,"1,691.25","747,286.00"
2/18/10,"1,691.49","749,470.96"
2/19/10,"1,691.65","750,933.30"
2/20/10,"1,691.79","752,213.18"
2/21/10,"1,692.05","754,591.90"
2/22/10,"1,692.28","756,702.84"
2/23/10,"1,692.48","758,538.44"
2/24/10,"1,692.61","759,735.98"
2/25/10,"1,692.85","761,948.30"
2/26/10,"1,693.10","764,256.40"
2/27/10,"1,693.26","765,737.04"
2/28/10,"1,693.59","768,794.28"
3/1/10,"1,693.95","772,139.40"
3/2/10,"1,694.36","775,962.80"
3/3/10,"1,694.71","779,236.70"
3/4/10,"1,695.01","782,048.06"
3/5/10,"1,695.32","784,963.92"
3/6/10,"1,695.67","788,262.82"
3/7/10,"1,696.12","792,518.56"
3/8/10,"1,696.94","800,315.44"
3/9/10,"1,697.22","802,991.52"
3/10/10,"1,697.43","805,000.38"
3/11/10,"1,697.60","806,630.60"
3/12/10,"1,697.70","807,591.20"
3/13/10,"1,697.84","808,936.04"
3/14/10,"1,697.92","809,704.52"
3/15/10,"1,698.01","810,569.46"
3/16/10,"1,698.12","811,630.52"
3/17/10,"1,698.22","812,595.12"
3/18/10,"1,698.24","812,788.04"
3/19/10,"1,698.26","812,980.96"
3/20/10,"1,698.26","812,980.96"
3/21/10,"1,698.32","813,559.72"
3/22/10,"1,698.34","813,752.64"
3/23/10,"1,698.36","813,945.56"
3/24/10,"1,698.38","814,138.48"
3/25/10,"1,698.39","814,234.94"
3/26/10,"1,698.40","814,331.40"
3/27/10,"1,698.41","814,427.86"
3/28/10,"1,698.41","814,427.86"
3/29/10,"1,698.42","814,524.32"
3/30/10,"1,698.43","814,620.78"
3/31/10,"1,698.44","814,717.24"
4/1/10,"1,698.41","814,427.86"
4/2/10,"1,698.40","814,331.40"
4/3/10,"1,698.41","814,427.86"
4/4/10,"1,698.34","813,752.64"
4/5/10,"1,698.29","813,270.34"
4/6/10,"1,698.42","814,524.32"
4/7/10,"1,698.35","813,849.10"
4/8/10,"1,698.33","813,656.18"
4/9/10,"1,698.33","813,656.18"
4/10/10,"1,698.33","813,656.18"
4/11/10,"1,698.33","813,656.18"
4/12/10,"1,698.24","812,788.04"
4/13/10,"1,698.31","813,463.26"
4/14/10,"1,698.29","813,270.34"
4/15/10,"1,698.31","813,463.26"
4/16/10,"1,698.21","812,498.66"
4/17/10,"1,698.21","812,498.66"
4/18/10,"1,698.21","812,498.66"
4/19/10,"1,698.21","812,498.66"
4/20/10,"1,698.21","812,498.66"
4/21/10,"1,698.21","812,498.66"
4/22/10,"1,698.21","812,498.66"
4/23/10,"1,698.10","811,437.60"
4/24/10,"1,698.09","811,341.14"
4/25/10,"1,698.11","811,534.06"
4/26/10,"1,698.08","811,244.68"
4/27/10,"1,697.91","809,608.46"
4/28/10,"1,697.81","808,647.86"
4/29/10,"1,697.70","807,591.20"
4/30/10,"1,697.45","805,191.70"
5/1/10,"1,697.44","805,096.04"
5/2/10,"1,697.39","804,617.74"
5/3/10,"1,697.41","804,809.06"
5/4/10,"1,697.42","804,904.72"
5/5/10,"1,697.51","805,766.06"
