# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-16 16:30:57 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09512800 AGUA FRIA RIVER NEAR ROCK SPRINGS, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09512800
#            TS   parameter     statistic     Description
#          5760       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5760_00060_00003	5760_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09512800	2010-01-01	0.43	A
USGS	09512800	2010-01-02	0.36	A
USGS	09512800	2010-01-03	0.41	A
USGS	09512800	2010-01-04	0.41	A
USGS	09512800	2010-01-05	0.45	A
USGS	09512800	2010-01-06	0.47	A
USGS	09512800	2010-01-07	0.48	A
USGS	09512800	2010-01-08	0.49	A
USGS	09512800	2010-01-09	0.56	A
USGS	09512800	2010-01-10	0.50	A
USGS	09512800	2010-01-11	0.41	A
USGS	09512800	2010-01-12	0.44	A
USGS	09512800	2010-01-13	0.47	A
USGS	09512800	2010-01-14	0.49	A
USGS	09512800	2010-01-15	0.51	A
USGS	09512800	2010-01-16	0.60	A
USGS	09512800	2010-01-17	0.52	A
USGS	09512800	2010-01-18	0.72	A
USGS	09512800	2010-01-19	48.8	A
USGS	09512800	2010-01-20	135	A
USGS	09512800	2010-01-21	13000	A
USGS	09512800	2010-01-22	13600	A
USGS	09512800	2010-01-23	1760	A
USGS	09512800	2010-01-24	656	A
USGS	09512800	2010-01-25	443	A
USGS	09512800	2010-01-26	275	A
USGS	09512800	2010-01-27	205	A
USGS	09512800	2010-01-28	187	A
USGS	09512800	2010-01-29	190	A
USGS	09512800	2010-01-30	168	A
USGS	09512800	2010-01-31	145	A
USGS	09512800	2010-02-01	124	A
USGS	09512800	2010-02-02	106	A
USGS	09512800	2010-02-03	89.6	A
USGS	09512800	2010-02-04	79.8	A
USGS	09512800	2010-02-05	70.1	A
USGS	09512800	2010-02-06	63.4	A
USGS	09512800	2010-02-07	136	A
USGS	09512800	2010-02-08	257	A
USGS	09512800	2010-02-09	222	A
USGS	09512800	2010-02-10	164	A
USGS	09512800	2010-02-11	138	A
USGS	09512800	2010-02-12	116	A
USGS	09512800	2010-02-13	97.1	A
USGS	09512800	2010-02-14	82.6	A
USGS	09512800	2010-02-15	72.3	A
USGS	09512800	2010-02-16	65.5	A
USGS	09512800	2010-02-17	60.5	A
USGS	09512800	2010-02-18	56.3	A
USGS	09512800	2010-02-19	51.5	A
USGS	09512800	2010-02-20	51.5	A
USGS	09512800	2010-02-21	74.5	A
USGS	09512800	2010-02-22	111	A
USGS	09512800	2010-02-23	137	A
USGS	09512800	2010-02-24	125	A
USGS	09512800	2010-02-25	111	A
USGS	09512800	2010-02-26	92.2	A
USGS	09512800	2010-02-27	83.9	A
USGS	09512800	2010-02-28	155	A
USGS	09512800	2010-03-01	218	A
USGS	09512800	2010-03-02	215	A
USGS	09512800	2010-03-03	181	A
USGS	09512800	2010-03-04	156	A
USGS	09512800	2010-03-05	137	A
USGS	09512800	2010-03-06	120	A
USGS	09512800	2010-03-07	315	A
USGS	09512800	2010-03-08	1600	A
USGS	09512800	2010-03-09	1140	A
USGS	09512800	2010-03-10	1090	A
USGS	09512800	2010-03-11	678	A
USGS	09512800	2010-03-12	537	A
USGS	09512800	2010-03-13	486	A
USGS	09512800	2010-03-14	452	A
USGS	09512800	2010-03-15	371	A
USGS	09512800	2010-03-16	295	A
USGS	09512800	2010-03-17	253	A
USGS	09512800	2010-03-18	223	A
USGS	09512800	2010-03-19	205	A
USGS	09512800	2010-03-20	181	A
USGS	09512800	2010-03-21	156	A
USGS	09512800	2010-03-22	139	A
USGS	09512800	2010-03-23	128	A
USGS	09512800	2010-03-24	125	A
USGS	09512800	2010-03-25	111	A
USGS	09512800	2010-03-26	98.1	A
USGS	09512800	2010-03-27	85.5	A
USGS	09512800	2010-03-28	74.6	A
USGS	09512800	2010-03-29	66.2	A
USGS	09512800	2010-03-30	61.0	A
USGS	09512800	2010-03-31	56.9	A
USGS	09512800	2010-04-01	54.8	A
USGS	09512800	2010-04-02	55.4	A
USGS	09512800	2010-04-03	53.1	A
USGS	09512800	2010-04-04	49.1	A
USGS	09512800	2010-04-05	44.2	A
USGS	09512800	2010-04-06	40.3	A
USGS	09512800	2010-04-07	38.4	A
USGS	09512800	2010-04-08	35.7	A
USGS	09512800	2010-04-09	35.0	A
USGS	09512800	2010-04-10	32.8	A
USGS	09512800	2010-04-11	30.2	A
USGS	09512800	2010-04-12	28.4	A
USGS	09512800	2010-04-13	27.2	A
USGS	09512800	2010-04-14	26.4	A
USGS	09512800	2010-04-15	24.9	A
USGS	09512800	2010-04-16	23.4	A
USGS	09512800	2010-04-17	22.2	A
USGS	09512800	2010-04-18	21.4	A
USGS	09512800	2010-04-19	19.7	A
USGS	09512800	2010-04-20	18.4	A
USGS	09512800	2010-04-21	18.7	A
USGS	09512800	2010-04-22	19.5	A
USGS	09512800	2010-04-23	20.3	A
USGS	09512800	2010-04-24	19.0	A
USGS	09512800	2010-04-25	17.8	A
USGS	09512800	2010-04-26	15.9	A
USGS	09512800	2010-04-27	13.9	A
USGS	09512800	2010-04-28	12.3	A
USGS	09512800	2010-04-29	11.3	A
USGS	09512800	2010-04-30	11.0	A
USGS	09512800	2010-05-01	11.2	A
USGS	09512800	2010-05-02	11.3	A
USGS	09512800	2010-05-03	10.7	A
USGS	09512800	2010-05-04	10.3	A
USGS	09512800	2010-05-05	9.65	A
USGS	09512800	2010-05-06	8.69	A
USGS	09512800	2010-05-07	7.96	A
USGS	09512800	2010-05-08	7.42	A
USGS	09512800	2010-05-09	6.78	A
USGS	09512800	2010-05-10	6.29	A
USGS	09512800	2010-05-11	6.04	A
USGS	09512800	2010-05-12	5.83	A
USGS	09512800	2010-05-13	5.54	A
USGS	09512800	2010-05-14	5.21	A
USGS	09512800	2010-05-15	5.26	A
USGS	09512800	2010-05-16	5.42	A
USGS	09512800	2010-05-17	5.24	A
USGS	09512800	2010-05-18	5.10	A
USGS	09512800	2010-05-19	5.03	A
USGS	09512800	2010-05-20	4.85	A
USGS	09512800	2010-05-21	4.58	A
USGS	09512800	2010-05-22	4.09	A
USGS	09512800	2010-05-23	3.76	A
USGS	09512800	2010-05-24	3.92	A
USGS	09512800	2010-05-25	3.91	A
USGS	09512800	2010-05-26	3.65	A
USGS	09512800	2010-05-27	3.48	A
USGS	09512800	2010-05-28	3.34	A
USGS	09512800	2010-05-29	3.19	A
USGS	09512800	2010-05-30	3.07	A
USGS	09512800	2010-05-31	2.89	A
USGS	09512800	2010-06-01	2.63	A
USGS	09512800	2010-06-02	2.76	A
USGS	09512800	2010-06-03	2.67	A
USGS	09512800	2010-06-04	2.53	A
USGS	09512800	2010-06-05	2.35	A
USGS	09512800	2010-06-06	2.15	A
USGS	09512800	2010-06-07	2.04	A
USGS	09512800	2010-06-08	2.02	A
USGS	09512800	2010-06-09	2.00	A
USGS	09512800	2010-06-10	1.90	A
USGS	09512800	2010-06-11	1.85	A
USGS	09512800	2010-06-12	1.93	A
USGS	09512800	2010-06-13	2.15	A
USGS	09512800	2010-06-14	2.08	A
USGS	09512800	2010-06-15	1.81	A
USGS	09512800	2010-06-16	1.70	A
USGS	09512800	2010-06-17	1.54	A
USGS	09512800	2010-06-18	1.52	A
USGS	09512800	2010-06-19	1.43	A
USGS	09512800	2010-06-20	1.39	A
USGS	09512800	2010-06-21	1.33	A
USGS	09512800	2010-06-22	1.10	A
USGS	09512800	2010-06-23	1.06	A
USGS	09512800	2010-06-24	1.05	A
USGS	09512800	2010-06-25	1.07	A
USGS	09512800	2010-06-26	0.99	A
USGS	09512800	2010-06-27	1.04	A
USGS	09512800	2010-06-28	0.99	A
USGS	09512800	2010-06-29	0.99	A
USGS	09512800	2010-06-30	0.96	A
USGS	09512800	2010-07-01	0.94	A
USGS	09512800	2010-07-02	0.89	A
USGS	09512800	2010-07-03	0.85	A
USGS	09512800	2010-07-04	0.94	A
USGS	09512800	2010-07-05	0.93	A
USGS	09512800	2010-07-06	0.92	A
