"This time series of Current Volume is for site Canyon Lake (Mormon Flat Dam)"

"Data available from 02-16-2020"

"Data ranges from 02-16-2020 to 02-16-2021."
"Units: Acre-ft"

"Data courtesy of Salt River Project (SRP)"

"DISCLAIMER: Data are provisional and subject to revision.  Provisional data may be inaccurate due to instrument malfunctions" 
"or physical changes at the measurement site.  Subsequent review based on field inspections and measurements may result in significant"
"revisions to the data."

"Data users are cautioned to consider carefully the provisional nature of the information. Provisional data should not be relied upon"
"to make decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational"
"consequences."

"Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be obtained from SRP."

ReadDateTime,ReadValue
02-16-2021 01:55,54875
02-16-2021 01:50,54868
02-16-2021 01:45,54868
02-16-2021 01:40,54861
02-16-2021 01:35,54868
02-16-2021 01:30,54861
02-16-2021 01:25,54868
02-16-2021 01:20,54861
02-16-2021 01:15,54868
02-16-2021 01:10,54868
02-16-2021 01:05,54875
02-16-2021 01:00,54868
02-16-2021 00:55,54875
02-16-2021 00:50,54868
02-16-2021 00:45,54868
02-16-2021 00:40,54868
02-16-2021 00:35,54861
02-16-2021 00:30,54861
02-16-2021 00:25,54861
02-16-2021 00:20,54868
02-16-2021 00:15,54861
02-16-2021 00:10,54875
02-16-2021 00:05,54868
02-16-2021 00:00,54875
02-15-2021 23:55,54868
02-15-2021 23:50,54875
02-15-2021 23:45,54868
02-15-2021 23:40,54868
02-15-2021 23:35,54861
02-15-2021 23:30,54868
02-15-2021 23:25,54868
02-15-2021 23:20,54875
02-15-2021 23:15,54875
02-15-2021 23:10,54875
02-15-2021 23:05,54875
02-15-2021 23:00,54868
02-15-2021 22:55,54868
02-15-2021 22:50,54861
02-15-2021 22:45,54868
02-15-2021 22:40,54861
02-15-2021 22:35,54861
02-15-2021 22:30,54861
02-15-2021 22:25,54875
02-15-2021 22:20,54868
02-15-2021 22:15,54875
02-15-2021 22:10,54868
02-15-2021 22:05,54875
02-15-2021 22:00,54868
02-15-2021 21:55,54868
02-15-2021 21:50,54861
02-15-2021 21:45,54868
02-15-2021 21:40,54861
02-15-2021 21:35,54868
02-15-2021 21:30,54868
02-15-2021 21:25,54875
02-15-2021 21:20,54875
02-15-2021 21:15,54875
02-15-2021 21:10,54868
02-15-2021 21:05,54875
02-15-2021 21:00,54861
02-15-2021 20:55,54861
02-15-2021 20:50,54861
02-15-2021 20:45,54861
02-15-2021 20:40,54868
02-15-2021 20:35,54875
02-15-2021 20:30,54875
02-15-2021 20:25,54875
02-15-2021 20:20,54875
02-15-2021 20:15,54868
02-15-2021 20:10,54868
02-15-2021 20:05,54861
02-15-2021 20:00,54861
02-15-2021 19:55,54861
02-15-2021 19:50,54868
02-15-2021 19:45,54868
02-15-2021 19:40,54875
02-15-2021 19:35,54875
02-15-2021 19:30,54875
02-15-2021 19:25,54875
02-15-2021 19:20,54875
02-15-2021 19:15,54861
02-15-2021 19:10,54861
02-15-2021 19:05,54861
02-15-2021 19:00,54861
02-15-2021 18:55,54861
02-15-2021 18:50,54868
02-15-2021 18:45,54875
02-15-2021 18:40,54875
02-15-2021 18:35,54875
02-15-2021 18:30,54875
02-15-2021 18:25,54875
02-15-2021 18:20,54868
02-15-2021 18:15,54861
02-15-2021 18:10,54861
02-15-2021 18:05,54861
02-15-2021 18:00,54868
02-15-2021 17:55,54875
02-15-2021 17:50,54875
02-15-2021 17:45,54875
02-15-2021 17:40,54875
02-15-2021 17:35,54875
02-15-2021 17:30,54875
02-15-2021 17:25,54861
02-15-2021 17:20,54854
02-15-2021 17:15,54854
02-15-2021 17:10,54861
02-15-2021 17:05,54868
02-15-2021 17:00,54875
02-15-2021 16:55,54875
02-15-2021 16:50,54882
02-15-2021 16:45,54875
02-15-2021 16:40,54875
02-15-2021 16:35,54868
02-15-2021 16:30,54861
02-15-2021 16:25,54861
02-15-2021 16:20,54854
02-15-2021 16:15,54861
02-15-2021 16:10,54861
02-15-2021 16:05,54875
02-15-2021 16:00,54875
02-15-2021 15:55,54882
02-15-2021 15:50,54882
02-15-2021 15:45,54882
02-15-2021 15:40,54868
02-15-2021 15:35,54861
02-15-2021 15:30,54861
02-15-2021 15:25,54854
02-15-2021 15:20,54861
02-15-2021 15:15,54875
02-15-2021 15:10,54882
02-15-2021 15:05,54882
02-15-2021 15:00,54882
02-15-2021 14:55,54882
02-15-2021 14:50,54882
02-15-2021 14:45,54875
02-15-2021 14:40,54854
02-15-2021 14:35,54854
02-15-2021 14:30,54861
02-15-2021 14:25,54861
02-15-2021 14:20,54875
02-15-2021 14:15,54882
02-15-2021 14:10,54889
02-15-2021 14:05,54889
02-15-2021 14:00,54882
02-15-2021 13:55,54875
02-15-2021 13:50,54875
02-15-2021 13:45,54861
02-15-2021 13:40,54847
02-15-2021 13:35,54854
02-15-2021 13:30,54861
02-15-2021 13:25,54875
02-15-2021 13:20,54889
02-15-2021 13:15,54903
02-15-2021 13:10,54896
02-15-2021 13:05,54889
02-15-2021 13:00,54875
02-15-2021 12:55,54861
02-15-2021 12:50,54861
02-15-2021 12:45,54847
02-15-2021 12:40,54854
02-15-2021 12:35,54875
02-15-2021 12:30,54882
02-15-2021 12:25,54889
02-15-2021 12:20,54903
02-15-2021 12:15,54896
02-15-2021 12:10,54896
02-15-2021 12:05,54875
02-15-2021 12:00,54861
02-15-2021 11:55,54861
02-15-2021 11:50,54854
02-15-2021 11:45,54847
02-15-2021 11:40,54868
02-15-2021 11:35,54882
02-15-2021 11:30,54896
02-15-2021 11:25,54910
02-15-2021 11:20,54910
02-15-2021 11:15,54889
02-15-2021 11:10,54875
02-15-2021 11:05,54861
02-15-2021 11:00,54847
02-15-2021 10:55,54861
02-15-2021 10:50,54847
02-15-2021 10:45,54861
02-15-2021 10:40,54889
02-15-2021 10:35,54917
02-15-2021 10:30,54917
02-15-2021 10:25,54917
02-15-2021 10:20,54882
02-15-2021 10:15,54875
02-15-2021 10:10,54854
02-15-2021 10:05,54840
02-15-2021 10:00,54833
02-15-2021 09:55,54868
02-15-2021 09:50,54854
02-15-2021 09:45,54889
02-15-2021 09:40,54924
02-15-2021 09:35,54938
02-15-2021 09:30,54917
02-15-2021 09:25,54896
02-15-2021 09:20,54861
02-15-2021 09:15,54847
02-15-2021 09:10,54833
02-15-2021 09:05,54826
02-15-2021 09:00,54861
02-15-2021 08:55,54875
02-15-2021 08:50,54882
02-15-2021 08:45,54931
02-15-2021 08:40,54938
02-15-2021 08:35,54938
02-15-2021 08:30,54896
02-15-2021 08:25,54833
02-15-2021 08:20,54819
02-15-2021 08:15,54826
02-15-2021 08:10,54819
02-15-2021 08:05,54826
02-15-2021 08:00,54889
02-15-2021 07:55,54875
02-15-2021 07:50,54952
02-15-2021 07:45,54959
02-15-2021 07:40,54966
02-15-2021 07:35,54924
02-15-2021 07:30,54875
02-15-2021 07:25,54715
02-15-2021 07:20,54791
02-15-2021 07:15,54840
02-15-2021 07:10,54791
02-15-2021 07:05,54785
02-15-2021 07:00,54903
02-15-2021 06:55,54903
02-15-2021 06:50,54903
02-15-2021 06:45,54903
02-15-2021 06:40,54910
02-15-2021 06:35,54903
02-15-2021 06:30,54910
02-15-2021 06:25,54917
02-15-2021 06:20,54910
02-15-2021 06:15,54924
02-15-2021 06:10,54917
02-15-2021 06:05,54910
02-15-2021 06:00,54924
02-15-2021 05:55,54917
02-15-2021 05:50,54910
02-15-2021 05:45,54924
02-15-2021 05:40,54924
02-15-2021 05:35,54938
02-15-2021 05:30,54931
02-15-2021 05:25,54945
02-15-2021 05:20,54945
02-15-2021 05:15,54959
02-15-2021 05:10,54917
02-15-2021 05:05,54959
02-15-2021 05:00,54917
02-15-2021 04:55,54896
02-15-2021 04:50,54882
02-15-2021 04:45,54931
02-15-2021 04:40,54959
02-15-2021 04:35,55056
02-15-2021 04:30,55042
02-15-2021 04:25,54994
02-15-2021 04:20,54931
02-15-2021 04:15,54959
02-15-2021 04:10,54945
02-15-2021 04:05,54833
02-15-2021 04:00,54910
02-15-2021 03:55,54903
02-15-2021 03:50,54917
02-15-2021 03:45,54903
02-15-2021 03:40,54882
02-15-2021 03:35,54854
02-15-2021 03:30,54847
02-15-2021 03:25,54826
02-15-2021 03:20,54861
02-15-2021 03:15,54868
02-15-2021 03:10,54889
02-15-2021 03:05,54917
02-15-2021 03:00,54924
02-15-2021 02:55,54910
02-15-2021 02:50,54910
02-15-2021 02:45,54882
02-15-2021 02:40,54847
02-15-2021 02:35,54840
02-15-2021 02:30,54805
02-15-2021 02:25,54833
02-15-2021 02:20,54882
02-15-2021 02:15,54903
02-15-2021 02:10,54903
02-15-2021 02:05,54952
02-15-2021 02:00,54917
02-15-2021 01:55,54903
02-15-2021 01:50,54875
02-15-2021 01:45,54854
02-15-2021 01:40,54805
02-15-2021 01:35,54819
02-15-2021 01:30,54805
02-15-2021 01:25,54903
02-15-2021 01:20,54917
02-15-2021 01:15,54945
02-15-2021 01:10,54938
02-15-2021 01:05,54959
02-15-2021 01:00,54875
02-15-2021 00:55,54882
02-15-2021 00:50,54833
02-15-2021 00:45,54798
02-15-2021 00:40,54791
02-15-2021 00:35,54812
02-15-2021 00:30,54854
02-15-2021 00:25,54938
02-15-2021 00:20,55008
02-15-2021 00:15,54986
02-15-2021 00:10,54924
02-15-2021 00:05,54861
02-15-2021 00:00,54966
02-14-2021 23:55,54854
