# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-02-16 16:26:57 EST       (sdww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 09498500 SALT RIVER NEAR ROOSEVELT, AZ",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 09498500,,,,
#            TS   parameter     statistic     Description,,,,
"#          5665       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,5665_00060_00003,5665_00060_00003_cd
5s,15s,20d,14n,10s
USGS,9498500,1/1/10,187,A
USGS,9498500,1/2/10,189,A
USGS,9498500,1/3/10,183,A
USGS,9498500,1/4/10,174,A
USGS,9498500,1/5/10,172,A
USGS,9498500,1/6/10,180,A
USGS,9498500,1/7/10,176,A
USGS,9498500,1/8/10,180,A
USGS,9498500,1/9/10,181,A
USGS,9498500,1/10/10,179,A
USGS,9498500,1/11/10,184,A
USGS,9498500,1/12/10,178,A
USGS,9498500,1/13/10,176,A
USGS,9498500,1/14/10,187,A
USGS,9498500,1/15/10,183,A
USGS,9498500,1/16/10,183,A
USGS,9498500,1/17/10,188,A
USGS,9498500,1/18/10,188,A
USGS,9498500,1/19/10,206,A
USGS,9498500,1/20/10,470,A
USGS,9498500,1/21/10,5020,A
USGS,9498500,1/22/10,47900,A
USGS,9498500,1/23/10,8240,A
USGS,9498500,1/24/10,4380,A
USGS,9498500,1/25/10,3380,A
USGS,9498500,1/26/10,2950,A
USGS,9498500,1/27/10,2900,A
USGS,9498500,1/28/10,3780,A
USGS,9498500,1/29/10,5790,A
USGS,9498500,1/30/10,4220,A
USGS,9498500,1/31/10,3310,A
USGS,9498500,2/1/10,2870,A
USGS,9498500,2/2/10,2500,A
USGS,9498500,2/3/10,2190,A
USGS,9498500,2/4/10,2170,A
USGS,9498500,2/5/10,1930,A
USGS,9498500,2/6/10,1820,A
USGS,9498500,2/7/10,1620,A
USGS,9498500,2/8/10,1780,A
USGS,9498500,2/9/10,1850,A
USGS,9498500,2/10/10,1410,A
USGS,9498500,2/11/10,1140,A
USGS,9498500,2/12/10,991,A
USGS,9498500,2/13/10,896,A
USGS,9498500,2/14/10,855,A
USGS,9498500,2/15/10,854,A
USGS,9498500,2/16/10,871,A
USGS,9498500,2/17/10,879,A
USGS,9498500,2/18/10,882,A
USGS,9498500,2/19/10,899,A
USGS,9498500,2/20/10,939,A
USGS,9498500,2/21/10,995,A
USGS,9498500,2/22/10,1520,A
USGS,9498500,2/23/10,3100,A
USGS,9498500,2/24/10,2400,A
USGS,9498500,2/25/10,2070,A
USGS,9498500,2/26/10,2110,A
USGS,9498500,2/27/10,2180,A
USGS,9498500,2/28/10,1800,A
USGS,9498500,3/1/10,1850,A
USGS,9498500,3/2/10,2160,A
USGS,9498500,3/3/10,2050,A
USGS,9498500,3/4/10,1860,A
USGS,9498500,3/5/10,1860,A
USGS,9498500,3/6/10,1890,A
USGS,9498500,3/7/10,1900,A
USGS,9498500,3/8/10,3650,A
USGS,9498500,3/9/10,5340,A
USGS,9498500,3/10/10,4220,A
USGS,9498500,3/11/10,3570,A
USGS,9498500,3/12/10,3000,A
USGS,9498500,3/13/10,2610,A
USGS,9498500,3/14/10,2410,A
USGS,9498500,3/15/10,2390,A
USGS,9498500,3/16/10,2200,A
USGS,9498500,3/17/10,2110,A
USGS,9498500,3/18/10,2290,A
USGS,9498500,3/19/10,2650,A
USGS,9498500,3/20/10,2850,A
USGS,9498500,3/21/10,2560,A
USGS,9498500,3/22/10,2240,A
USGS,9498500,3/23/10,2230,A
USGS,9498500,3/24/10,2450,A
USGS,9498500,3/25/10,2400,A
USGS,9498500,3/26/10,2240,A
USGS,9498500,3/27/10,2260,A
USGS,9498500,3/28/10,2240,A
USGS,9498500,3/29/10,2140,A
USGS,9498500,3/30/10,2200,A
USGS,9498500,3/31/10,2550,A
USGS,9498500,4/1/10,2990,A
USGS,9498500,4/2/10,3090,A
USGS,9498500,4/3/10,2660,A
USGS,9498500,4/4/10,2370,A
USGS,9498500,4/5/10,2460,A
USGS,9498500,4/6/10,2830,A
USGS,9498500,4/7/10,3140,A
USGS,9498500,4/8/10,3060,A
USGS,9498500,4/9/10,2820,A
USGS,9498500,4/10/10,2800,A
USGS,9498500,4/11/10,2960,A
USGS,9498500,4/12/10,3110,A
USGS,9498500,4/13/10,3360,A
USGS,9498500,4/14/10,3620,A
USGS,9498500,4/15/10,3580,A
USGS,9498500,4/16/10,3710,A:e
USGS,9498500,4/17/10,3950,A:e
USGS,9498500,4/18/10,4350,A:e
USGS,9498500,4/19/10,4550,A:e
USGS,9498500,4/20/10,4550,A:e
USGS,9498500,4/21/10,4420,A:e
USGS,9498500,4/22/10,4410,A
USGS,9498500,4/23/10,4540,A
USGS,9498500,4/24/10,3690,A
USGS,9498500,4/25/10,3050,A
USGS,9498500,4/26/10,2770,A
USGS,9498500,4/27/10,2710,A
USGS,9498500,4/28/10,2750,A
USGS,9498500,4/29/10,2740,A
USGS,9498500,4/30/10,2720,A
USGS,9498500,5/1/10,2550,A
USGS,9498500,5/2/10,2320,A
USGS,9498500,5/3/10,2120,A
USGS,9498500,5/4/10,1960,A
USGS,9498500,5/5/10,1870,A
USGS,9498500,5/6/10,1880,A
USGS,9498500,5/7/10,1850,A
USGS,9498500,5/8/10,1870,A
USGS,9498500,5/9/10,1890,A
USGS,9498500,5/10/10,1900,A
USGS,9498500,5/11/10,1860,A
USGS,9498500,5/12/10,1740,A
USGS,9498500,5/13/10,1650,A
USGS,9498500,5/14/10,1560,A
USGS,9498500,5/15/10,1470,A
USGS,9498500,5/16/10,1400,A
USGS,9498500,5/17/10,1330,A
USGS,9498500,5/18/10,1300,A
USGS,9498500,5/19/10,1300,A
USGS,9498500,5/20/10,1280,A
USGS,9498500,5/21/10,1250,A
USGS,9498500,5/22/10,1230,A
USGS,9498500,5/23/10,1230,A
USGS,9498500,5/24/10,1210,A
USGS,9498500,5/25/10,1170,A
USGS,9498500,5/26/10,1100,A
USGS,9498500,5/27/10,1020,A
USGS,9498500,5/28/10,909,A
USGS,9498500,5/29/10,829,A
USGS,9498500,5/30/10,810,A
USGS,9498500,5/31/10,786,A
USGS,9498500,6/1/10,739,A
USGS,9498500,6/2/10,690,A
USGS,9498500,6/3/10,641,A
USGS,9498500,6/4/10,590,A
USGS,9498500,6/5/10,530,A
USGS,9498500,6/6/10,496,A
USGS,9498500,6/7/10,470,A
USGS,9498500,6/8/10,452,A
USGS,9498500,6/9/10,432,A
USGS,9498500,6/10/10,411,A
USGS,9498500,6/11/10,392,A
USGS,9498500,6/12/10,364,A
USGS,9498500,6/13/10,338,A
USGS,9498500,6/14/10,326,A
USGS,9498500,6/15/10,311,A
USGS,9498500,6/16/10,293,A
USGS,9498500,6/17/10,281,A
USGS,9498500,6/18/10,264,A
USGS,9498500,6/19/10,252,A
USGS,9498500,6/20/10,241,A
USGS,9498500,6/21/10,230,A
USGS,9498500,6/22/10,220,A
USGS,9498500,6/23/10,211,A
USGS,9498500,6/24/10,204,A
USGS,9498500,6/25/10,198,A
USGS,9498500,6/26/10,191,A
USGS,9498500,6/27/10,181,A
USGS,9498500,6/28/10,185,A
USGS,9498500,6/29/10,182,A
USGS,9498500,6/30/10,188,A
USGS,9498500,7/1/10,187,A
USGS,9498500,7/2/10,190,A
USGS,9498500,7/3/10,198,A
USGS,9498500,7/4/10,197,A
USGS,9498500,7/5/10,195,A
USGS,9498500,7/6/10,186,A
USGS,9498500,7/7/10,177,A
USGS,9498500,7/8/10,173,A
USGS,9498500,7/9/10,173,A
USGS,9498500,7/10/10,173,A
USGS,9498500,7/11/10,180,A
USGS,9498500,7/12/10,195,A
USGS,9498500,7/13/10,324,A
USGS,9498500,7/14/10,242,A
USGS,9498500,7/15/10,229,A
USGS,9498500,7/16/10,227,A
USGS,9498500,7/17/10,230,A
USGS,9498500,7/18/10,240,A
USGS,9498500,7/19/10,238,A
USGS,9498500,7/20/10,325,A
USGS,9498500,7/21/10,430,A
USGS,9498500,7/22/10,254,A
USGS,9498500,7/23/10,277,A
USGS,9498500,7/24/10,333,A
USGS,9498500,7/25/10,732,A
USGS,9498500,7/26/10,560,A
USGS,9498500,7/27/10,543,A
USGS,9498500,7/28/10,628,A
USGS,9498500,7/29/10,728,A
USGS,9498500,7/30/10,802,A
USGS,9498500,7/31/10,1800,A
USGS,9498500,8/1/10,3070,A
USGS,9498500,8/2/10,5450,A
USGS,9498500,8/3/10,2490,A
USGS,9498500,8/4/10,2060,A
USGS,9498500,8/5/10,1280,A
USGS,9498500,8/6/10,909,A
USGS,9498500,8/7/10,795,A
USGS,9498500,8/8/10,759,A
USGS,9498500,8/9/10,699,A
USGS,9498500,8/10/10,689,A
USGS,9498500,8/11/10,604,A
USGS,9498500,8/12/10,533,A
USGS,9498500,8/13/10,464,A
USGS,9498500,8/14/10,409,A
USGS,9498500,8/15/10,373,A
USGS,9498500,8/16/10,352,A
USGS,9498500,8/17/10,353,A
USGS,9498500,8/18/10,362,A
USGS,9498500,8/19/10,360,A
USGS,9498500,8/20/10,352,A
USGS,9498500,8/21/10,326,A
USGS,9498500,8/22/10,321,A
USGS,9498500,8/23/10,322,A
USGS,9498500,8/24/10,305,A
USGS,9498500,8/25/10,283,A
USGS,9498500,8/26/10,339,A
USGS,9498500,8/27/10,336,A
USGS,9498500,8/28/10,344,A
USGS,9498500,8/29/10,358,A
USGS,9498500,8/30/10,323,A
USGS,9498500,8/31/10,315,A
USGS,9498500,9/1/10,314,A
USGS,9498500,9/2/10,292,A
USGS,9498500,9/3/10,271,A
USGS,9498500,9/4/10,260,A
USGS,9498500,9/5/10,246,A
USGS,9498500,9/6/10,241,A
USGS,9498500,9/7/10,230,A
USGS,9498500,9/8/10,221,A
USGS,9498500,9/9/10,215,A
USGS,9498500,9/10/10,223,A
USGS,9498500,9/11/10,217,A
USGS,9498500,9/12/10,228,A
USGS,9498500,9/13/10,211,A
USGS,9498500,9/14/10,197,A
USGS,9498500,9/15/10,185,A
USGS,9498500,9/16/10,178,A
USGS,9498500,9/17/10,175,A
USGS,9498500,9/18/10,170,A
USGS,9498500,9/19/10,165,A
USGS,9498500,9/20/10,163,A
USGS,9498500,9/21/10,161,A
USGS,9498500,9/22/10,568,A
USGS,9498500,9/23/10,1330,A
USGS,9498500,9/24/10,430,A
USGS,9498500,9/25/10,379,A
USGS,9498500,9/26/10,314,A
USGS,9498500,9/27/10,270,A
USGS,9498500,9/28/10,248,A
USGS,9498500,9/29/10,227,A
USGS,9498500,9/30/10,213,A
USGS,9498500,10/1/10,200,A
USGS,9498500,10/2/10,195,A
USGS,9498500,10/3/10,188,A
USGS,9498500,10/4/10,182,A
USGS,9498500,10/5/10,192,A
USGS,9498500,10/6/10,210,A
USGS,9498500,10/7/10,225,A
USGS,9498500,10/8/10,211,A
USGS,9498500,10/9/10,204,A
USGS,9498500,10/10/10,194,A
USGS,9498500,10/11/10,189,A
USGS,9498500,10/12/10,182,A
USGS,9498500,10/13/10,177,A
USGS,9498500,10/14/10,170,A
USGS,9498500,10/15/10,168,A
USGS,9498500,10/16/10,168,A
USGS,9498500,10/17/10,165,A
USGS,9498500,10/18/10,165,A
USGS,9498500,10/19/10,165,A
USGS,9498500,10/20/10,165,A
USGS,9498500,10/21/10,168,A
USGS,9498500,10/22/10,166,A
USGS,9498500,10/23/10,168,A
USGS,9498500,10/24/10,167,A
USGS,9498500,10/25/10,170,A
USGS,9498500,10/26/10,169,A
USGS,9498500,10/27/10,168,A
USGS,9498500,10/28/10,165,A
USGS,9498500,10/29/10,164,A
USGS,9498500,10/30/10,163,A
USGS,9498500,10/31/10,161,A
USGS,9498500,11/1/10,156,A
USGS,9498500,11/2/10,155,A
USGS,9498500,11/3/10,155,A
