# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-02-16 16:27:56 EST       (sdww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 09499000 TONTO CREEK ABOVE GUN CREEK, NEAR ROOSEVELT, AZ",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 09499000,,,,
#            TS   parameter     statistic     Description,,,,
"#          5672       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,5672_00060_00003,5672_00060_00003_cd
5s,15s,20d,14n,10s
USGS,9499000,1/1/10,13.3,A
USGS,9499000,1/2/10,15,A
USGS,9499000,1/3/10,13.9,A
USGS,9499000,1/4/10,12.5,A
USGS,9499000,1/5/10,12.5,A
USGS,9499000,1/6/10,12.5,A
USGS,9499000,1/7/10,12.4,A
USGS,9499000,1/8/10,12.4,A
USGS,9499000,1/9/10,12.4,A
USGS,9499000,1/10/10,12.6,A
USGS,9499000,1/11/10,12.7,A
USGS,9499000,1/12/10,12.7,A
USGS,9499000,1/13/10,13.8,A
USGS,9499000,1/14/10,13.8,A
USGS,9499000,1/15/10,13.5,A
USGS,9499000,1/16/10,13.8,A
USGS,9499000,1/17/10,14.2,A
USGS,9499000,1/18/10,15.2,A
USGS,9499000,1/19/10,24.5,A
USGS,9499000,1/20/10,1040,A
USGS,9499000,1/21/10,20900,A
USGS,9499000,1/22/10,18000,A
USGS,9499000,1/23/10,3140,A
USGS,9499000,1/24/10,1730,A
USGS,9499000,1/25/10,1210,A
USGS,9499000,1/26/10,1020,A
USGS,9499000,1/27/10,962,A
USGS,9499000,1/28/10,1240,A
USGS,9499000,1/29/10,1110,A
USGS,9499000,1/30/10,915,A
USGS,9499000,1/31/10,730,A
USGS,9499000,2/1/10,630,A
USGS,9499000,2/2/10,509,A
USGS,9499000,2/3/10,464,A
USGS,9499000,2/4/10,440,A
USGS,9499000,2/5/10,432,A
USGS,9499000,2/6/10,410,A
USGS,9499000,2/7/10,472,A
USGS,9499000,2/8/10,556,A
USGS,9499000,2/9/10,407,A
USGS,9499000,2/10/10,335,A
USGS,9499000,2/11/10,291,A
USGS,9499000,2/12/10,251,A
USGS,9499000,2/13/10,235,A
USGS,9499000,2/14/10,236,A
USGS,9499000,2/15/10,238,A
USGS,9499000,2/16/10,232,A
USGS,9499000,2/17/10,222,A
USGS,9499000,2/18/10,214,A
USGS,9499000,2/19/10,209,A
USGS,9499000,2/20/10,201,A
USGS,9499000,2/21/10,310,A
USGS,9499000,2/22/10,1100,A
USGS,9499000,2/23/10,1260,A
USGS,9499000,2/24/10,696,A
USGS,9499000,2/25/10,528,A
USGS,9499000,2/26/10,471,A
USGS,9499000,2/27/10,423,A
USGS,9499000,2/28/10,456,A
USGS,9499000,3/1/10,741,A
USGS,9499000,3/2/10,597,A
USGS,9499000,3/3/10,522,A
USGS,9499000,3/4/10,478,A
USGS,9499000,3/5/10,430,A
USGS,9499000,3/6/10,371,A
USGS,9499000,3/7/10,715,A
USGS,9499000,3/8/10,2580,A
USGS,9499000,3/9/10,2500,A
USGS,9499000,3/10/10,2020,A
USGS,9499000,3/11/10,1550,A
USGS,9499000,3/12/10,1270,A
USGS,9499000,3/13/10,1050,A
USGS,9499000,3/14/10,912,A
USGS,9499000,3/15/10,691,A
USGS,9499000,3/16/10,562,A
USGS,9499000,3/17/10,524,A
USGS,9499000,3/18/10,543,A
USGS,9499000,3/19/10,529,A
USGS,9499000,3/20/10,467,A
USGS,9499000,3/21/10,379,A
USGS,9499000,3/22/10,339,A
USGS,9499000,3/23/10,341,A
USGS,9499000,3/24/10,324,A
USGS,9499000,3/25/10,291,A
USGS,9499000,3/26/10,279,A
USGS,9499000,3/27/10,266,A
USGS,9499000,3/28/10,238,A
USGS,9499000,3/29/10,222,A
USGS,9499000,3/30/10,234,A
USGS,9499000,3/31/10,268,A
USGS,9499000,4/1/10,274,A
USGS,9499000,4/2/10,247,A
USGS,9499000,4/3/10,200,A
USGS,9499000,4/4/10,191,A
USGS,9499000,4/5/10,206,A
USGS,9499000,4/6/10,215,A
USGS,9499000,4/7/10,197,A
USGS,9499000,4/8/10,174,A
USGS,9499000,4/9/10,163,A
USGS,9499000,4/10/10,168,A
USGS,9499000,4/11/10,169,A
USGS,9499000,4/12/10,171,A
USGS,9499000,4/13/10,169,A
USGS,9499000,4/14/10,156,A
USGS,9499000,4/15/10,147,A
USGS,9499000,4/16/10,142,A
USGS,9499000,4/17/10,137,A
USGS,9499000,4/18/10,133,A
USGS,9499000,4/19/10,130,A
USGS,9499000,4/20/10,123,A
USGS,9499000,4/21/10,117,A
USGS,9499000,4/22/10,116,A
USGS,9499000,4/23/10,106,A
USGS,9499000,4/24/10,95.2,A
USGS,9499000,4/25/10,87.6,A
USGS,9499000,4/26/10,83.4,A
