# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-16 16:27:56 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09499000 TONTO CREEK ABOVE GUN CREEK, NEAR ROOSEVELT, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09499000
#            TS   parameter     statistic     Description
#          5672       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5672_00060_00003	5672_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09499000	2010-01-01	13.3	A
USGS	09499000	2010-01-02	15.0	A
USGS	09499000	2010-01-03	13.9	A
USGS	09499000	2010-01-04	12.5	A
USGS	09499000	2010-01-05	12.5	A
USGS	09499000	2010-01-06	12.5	A
USGS	09499000	2010-01-07	12.4	A
USGS	09499000	2010-01-08	12.4	A
USGS	09499000	2010-01-09	12.4	A
USGS	09499000	2010-01-10	12.6	A
USGS	09499000	2010-01-11	12.7	A
USGS	09499000	2010-01-12	12.7	A
USGS	09499000	2010-01-13	13.8	A
USGS	09499000	2010-01-14	13.8	A
USGS	09499000	2010-01-15	13.5	A
USGS	09499000	2010-01-16	13.8	A
USGS	09499000	2010-01-17	14.2	A
USGS	09499000	2010-01-18	15.2	A
USGS	09499000	2010-01-19	24.5	A
USGS	09499000	2010-01-20	1040	A
USGS	09499000	2010-01-21	20900	A
USGS	09499000	2010-01-22	18000	A
USGS	09499000	2010-01-23	3140	A
USGS	09499000	2010-01-24	1730	A
USGS	09499000	2010-01-25	1210	A
USGS	09499000	2010-01-26	1020	A
USGS	09499000	2010-01-27	962	A
USGS	09499000	2010-01-28	1240	A
USGS	09499000	2010-01-29	1110	A
USGS	09499000	2010-01-30	915	A
USGS	09499000	2010-01-31	730	A
USGS	09499000	2010-02-01	630	A
USGS	09499000	2010-02-02	509	A
USGS	09499000	2010-02-03	464	A
USGS	09499000	2010-02-04	440	A
USGS	09499000	2010-02-05	432	A
USGS	09499000	2010-02-06	410	A
USGS	09499000	2010-02-07	472	A
USGS	09499000	2010-02-08	556	A
USGS	09499000	2010-02-09	407	A
USGS	09499000	2010-02-10	335	A
USGS	09499000	2010-02-11	291	A
USGS	09499000	2010-02-12	251	A
USGS	09499000	2010-02-13	235	A
USGS	09499000	2010-02-14	236	A
USGS	09499000	2010-02-15	238	A
USGS	09499000	2010-02-16	232	A
USGS	09499000	2010-02-17	222	A
USGS	09499000	2010-02-18	214	A
USGS	09499000	2010-02-19	209	A
USGS	09499000	2010-02-20	201	A
USGS	09499000	2010-02-21	310	A
USGS	09499000	2010-02-22	1100	A
USGS	09499000	2010-02-23	1260	A
USGS	09499000	2010-02-24	696	A
USGS	09499000	2010-02-25	528	A
USGS	09499000	2010-02-26	471	A
USGS	09499000	2010-02-27	423	A
USGS	09499000	2010-02-28	456	A
USGS	09499000	2010-03-01	741	A
USGS	09499000	2010-03-02	597	A
USGS	09499000	2010-03-03	522	A
USGS	09499000	2010-03-04	478	A
USGS	09499000	2010-03-05	430	A
USGS	09499000	2010-03-06	371	A
USGS	09499000	2010-03-07	715	A
USGS	09499000	2010-03-08	2580	A
USGS	09499000	2010-03-09	2500	A
USGS	09499000	2010-03-10	2020	A
USGS	09499000	2010-03-11	1550	A
USGS	09499000	2010-03-12	1270	A
USGS	09499000	2010-03-13	1050	A
USGS	09499000	2010-03-14	912	A
USGS	09499000	2010-03-15	691	A
USGS	09499000	2010-03-16	562	A
USGS	09499000	2010-03-17	524	A
USGS	09499000	2010-03-18	543	A
USGS	09499000	2010-03-19	529	A
USGS	09499000	2010-03-20	467	A
USGS	09499000	2010-03-21	379	A
USGS	09499000	2010-03-22	339	A
USGS	09499000	2010-03-23	341	A
USGS	09499000	2010-03-24	324	A
USGS	09499000	2010-03-25	291	A
USGS	09499000	2010-03-26	279	A
USGS	09499000	2010-03-27	266	A
USGS	09499000	2010-03-28	238	A
USGS	09499000	2010-03-29	222	A
USGS	09499000	2010-03-30	234	A
USGS	09499000	2010-03-31	268	A
USGS	09499000	2010-04-01	274	A
USGS	09499000	2010-04-02	247	A
USGS	09499000	2010-04-03	200	A
USGS	09499000	2010-04-04	191	A
USGS	09499000	2010-04-05	206	A
USGS	09499000	2010-04-06	215	A
USGS	09499000	2010-04-07	197	A
USGS	09499000	2010-04-08	174	A
USGS	09499000	2010-04-09	163	A
USGS	09499000	2010-04-10	168	A
USGS	09499000	2010-04-11	169	A
USGS	09499000	2010-04-12	171	A
USGS	09499000	2010-04-13	169	A
USGS	09499000	2010-04-14	156	A
USGS	09499000	2010-04-15	147	A
USGS	09499000	2010-04-16	142	A
USGS	09499000	2010-04-17	137	A
USGS	09499000	2010-04-18	133	A
USGS	09499000	2010-04-19	130	A
USGS	09499000	2010-04-20	123	A
USGS	09499000	2010-04-21	117	A
USGS	09499000	2010-04-22	116	A
USGS	09499000	2010-04-23	106	A
USGS	09499000	2010-04-24	95.2	A
USGS	09499000	2010-04-25	87.6	A
USGS	09499000	2010-04-26	83.4	A
USGS	09499000	2010-04-27	80.1	A
USGS	09499000	2010-04-28	74.6	A
USGS	09499000	2010-04-29	73.0	A
USGS	09499000	2010-04-30	73.0	A
USGS	09499000	2010-05-01	69.6	A
USGS	09499000	2010-05-02	64.9	A
USGS	09499000	2010-05-03	61.4	A
USGS	09499000	2010-05-04	58.7	A
USGS	09499000	2010-05-05	55.8	A
USGS	09499000	2010-05-06	52.4	A
USGS	09499000	2010-05-07	50.4	A
USGS	09499000	2010-05-08	49.3	A
USGS	09499000	2010-05-09	48.4	A
USGS	09499000	2010-05-10	46.8	A
USGS	09499000	2010-05-11	45.0	A
USGS	09499000	2010-05-12	43.4	A
USGS	09499000	2010-05-13	42.2	A
USGS	09499000	2010-05-14	42.2	A
USGS	09499000	2010-05-15	41.9	A
USGS	09499000	2010-05-16	40.1	A
USGS	09499000	2010-05-17	38.4	A
USGS	09499000	2010-05-18	36.9	A
USGS	09499000	2010-05-19	36.3	A
USGS	09499000	2010-05-20	36.0	A
USGS	09499000	2010-05-21	34.6	A
USGS	09499000	2010-05-22	32.6	A
USGS	09499000	2010-05-23	31.4	A
USGS	09499000	2010-05-24	30.5	A
USGS	09499000	2010-05-25	30.5	A
USGS	09499000	2010-05-26	25.8	A
USGS	09499000	2010-05-27	24.7	A
USGS	09499000	2010-05-28	23.7	A
USGS	09499000	2010-05-29	21.9	A
USGS	09499000	2010-05-30	21.1	A
USGS	09499000	2010-05-31	20.6	A
USGS	09499000	2010-06-01	19.4	A
USGS	09499000	2010-06-02	19.5	A
USGS	09499000	2010-06-03	19.5	A
USGS	09499000	2010-06-04	20.4	A
USGS	09499000	2010-06-05	19.2	A
USGS	09499000	2010-06-06	17.0	A
USGS	09499000	2010-06-07	15.4	A
USGS	09499000	2010-06-08	14.5	A
USGS	09499000	2010-06-09	14.4	A
USGS	09499000	2010-06-10	14.0	A
USGS	09499000	2010-06-11	13.3	A
USGS	09499000	2010-06-12	13.2	A
USGS	09499000	2010-06-13	14.2	A
USGS	09499000	2010-06-14	16.7	A
USGS	09499000	2010-06-15	16.1	A
USGS	09499000	2010-06-16	15.3	A
USGS	09499000	2010-06-17	13.7	A
USGS	09499000	2010-06-18	8.97	A
USGS	09499000	2010-06-19	6.28	A
USGS	09499000	2010-06-20	5.67	A
USGS	09499000	2010-06-21	5.36	A
USGS	09499000	2010-06-22	4.79	A
USGS	09499000	2010-06-23	4.09	A
USGS	09499000	2010-06-24	4.04	A
USGS	09499000	2010-06-25	4.80	A
USGS	09499000	2010-06-26	4.68	A
USGS	09499000	2010-06-27	3.86	A
USGS	09499000	2010-06-28	3.91	A
USGS	09499000	2010-06-29	3.01	A
USGS	09499000	2010-06-30	4.10	A
USGS	09499000	2010-07-01	4.22	A
USGS	09499000	2010-07-02	3.58	A
USGS	09499000	2010-07-03	2.52	A
USGS	09499000	2010-07-04	2.61	A
USGS	09499000	2010-07-05	3.26	A
USGS	09499000	2010-07-06	3.21	A
USGS	09499000	2010-07-07	5.77	A
USGS	09499000	2010-07-08	1.60	A
USGS	09499000	2010-07-09	0.03	A
USGS	09499000	2010-07-10	0.84	A
USGS	09499000	2010-07-11	1.25	A
USGS	09499000	2010-07-12	1.11	A
USGS	09499000	2010-07-13	4.26	A
USGS	09499000	2010-07-14	8.46	A
USGS	09499000	2010-07-15	4.92	A
USGS	09499000	2010-07-16	3.46	A
USGS	09499000	2010-07-17	2.81	A
USGS	09499000	2010-07-18	7.84	A
USGS	09499000	2010-07-19	9.61	A
USGS	09499000	2010-07-20	5.79	A
USGS	09499000	2010-07-21	4.11	A
USGS	09499000	2010-07-22	9.61	A
USGS	09499000	2010-07-23	75.0	A
USGS	09499000	2010-07-24	83.2	A
USGS	09499000	2010-07-25	63.3	A
USGS	09499000	2010-07-26	45.1	A
USGS	09499000	2010-07-27	61.1	A
USGS	09499000	2010-07-28	105	A
USGS	09499000	2010-07-29	71.4	A
USGS	09499000	2010-07-30	60.2	A
