# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-02-16 16:22:47 EST       (caww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 09508500 VERDE RVR BLW TANGLE CREEK, ABV HORSESHOE DAM, AZ",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 09508500,,,,
#            TS   parameter     statistic     Description,,,,
"#          5720       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,5720_00060_00003,5720_00060_00003_cd
5s,15s,20d,14n,10s
USGS,9508500,1/1/10,240,A
USGS,9508500,1/2/10,241,A
USGS,9508500,1/3/10,239,A
USGS,9508500,1/4/10,237,A
USGS,9508500,1/5/10,237,A
USGS,9508500,1/6/10,239,A
USGS,9508500,1/7/10,239,A
USGS,9508500,1/8/10,237,A
USGS,9508500,1/9/10,234,A
USGS,9508500,1/10/10,235,A
USGS,9508500,1/11/10,236,A
USGS,9508500,1/12/10,236,A
USGS,9508500,1/13/10,236,A
USGS,9508500,1/14/10,236,A
USGS,9508500,1/15/10,234,A
USGS,9508500,1/16/10,236,A
USGS,9508500,1/17/10,240,A
USGS,9508500,1/18/10,244,A
USGS,9508500,1/19/10,261,A
USGS,9508500,1/20/10,609,A
USGS,9508500,1/21/10,12600,A
USGS,9508500,1/22/10,30600,A
USGS,9508500,1/23/10,9640,A
USGS,9508500,1/24/10,4960,A
USGS,9508500,1/25/10,3060,A
USGS,9508500,1/26/10,2140,A
USGS,9508500,1/27/10,1870,A
USGS,9508500,1/28/10,2930,A
USGS,9508500,1/29/10,2730,A
USGS,9508500,1/30/10,2200,A
USGS,9508500,1/31/10,1830,A
USGS,9508500,2/1/10,1580,A
USGS,9508500,2/2/10,1400,A
USGS,9508500,2/3/10,1340,A
USGS,9508500,2/4/10,1340,A
USGS,9508500,2/5/10,1340,A
USGS,9508500,2/6/10,1400,A
USGS,9508500,2/7/10,2000,A
USGS,9508500,2/8/10,3610,A
USGS,9508500,2/9/10,2370,A
USGS,9508500,2/10/10,1720,A
USGS,9508500,2/11/10,1320,A
USGS,9508500,2/12/10,1060,A
USGS,9508500,2/13/10,900,A
USGS,9508500,2/14/10,840,A
USGS,9508500,2/15/10,901,A
USGS,9508500,2/16/10,1080,A
USGS,9508500,2/17/10,1220,A
USGS,9508500,2/18/10,1320,A
USGS,9508500,2/19/10,1230,A
USGS,9508500,2/20/10,1250,A
USGS,9508500,2/21/10,1340,A
USGS,9508500,2/22/10,1460,A
USGS,9508500,2/23/10,2090,A
USGS,9508500,2/24/10,1360,A
USGS,9508500,2/25/10,1040,A
USGS,9508500,2/26/10,947,A
USGS,9508500,2/27/10,1080,A
USGS,9508500,2/28/10,1050,A
USGS,9508500,3/1/10,1300,A
USGS,9508500,3/2/10,1490,A
USGS,9508500,3/3/10,1520,A
USGS,9508500,3/4/10,1830,A
USGS,9508500,3/5/10,2090,A
USGS,9508500,3/6/10,2080,A
USGS,9508500,3/7/10,2600,A
USGS,9508500,3/8/10,8020,A
USGS,9508500,3/9/10,6870,A
USGS,9508500,3/10/10,5000,A
USGS,9508500,3/11/10,3610,A
USGS,9508500,3/12/10,3620,A
USGS,9508500,3/13/10,3030,A
USGS,9508500,3/14/10,2840,A
USGS,9508500,3/15/10,3050,A
USGS,9508500,3/16/10,2630,A
USGS,9508500,3/17/10,2790,A
USGS,9508500,3/18/10,3880,A
USGS,9508500,3/19/10,4760,A
USGS,9508500,3/20/10,4700,A
USGS,9508500,3/21/10,3930,A
USGS,9508500,3/22/10,2970,A
USGS,9508500,3/23/10,3250,A
USGS,9508500,3/24/10,3620,A
USGS,9508500,3/25/10,2890,A
USGS,9508500,3/26/10,2640,A
USGS,9508500,3/27/10,2710,A
USGS,9508500,3/28/10,2460,A
USGS,9508500,3/29/10,2060,A
USGS,9508500,3/30/10,2090,A
USGS,9508500,3/31/10,2410,A
USGS,9508500,4/1/10,3050,A
USGS,9508500,4/2/10,2630,A
USGS,9508500,4/3/10,2190,A
USGS,9508500,4/4/10,1620,A
USGS,9508500,4/5/10,1540,A
USGS,9508500,4/6/10,1880,A
USGS,9508500,4/7/10,2090,A
USGS,9508500,4/8/10,1720,A
USGS,9508500,4/9/10,1340,A
USGS,9508500,4/10/10,1250,A
USGS,9508500,4/11/10,1330,A
USGS,9508500,4/12/10,1250,A
USGS,9508500,4/13/10,1210,A
USGS,9508500,4/14/10,1140,A
USGS,9508500,4/15/10,1020,A
USGS,9508500,4/16/10,895,A
USGS,9508500,4/17/10,832,A
USGS,9508500,4/18/10,766,A
USGS,9508500,4/19/10,687,A
USGS,9508500,4/20/10,639,A
USGS,9508500,4/21/10,599,A
USGS,9508500,4/22/10,535,A
USGS,9508500,4/23/10,501,A
USGS,9508500,4/24/10,501,A
USGS,9508500,4/25/10,460,A
USGS,9508500,4/26/10,415,A
USGS,9508500,4/27/10,367,A
USGS,9508500,4/28/10,316,A
USGS,9508500,4/29/10,280,A
USGS,9508500,4/30/10,274,A
USGS,9508500,5/1/10,261,A
USGS,9508500,5/2/10,258,A
USGS,9508500,5/3/10,251,A
USGS,9508500,5/4/10,239,A
USGS,9508500,5/5/10,219,A
USGS,9508500,5/6/10,200,A
USGS,9508500,5/7/10,193,A
USGS,9508500,5/8/10,188,A
USGS,9508500,5/9/10,188,A
USGS,9508500,5/10/10,174,A
USGS,9508500,5/11/10,172,A
USGS,9508500,5/12/10,172,A
USGS,9508500,5/13/10,176,A
USGS,9508500,5/14/10,176,A
USGS,9508500,5/15/10,174,A
USGS,9508500,5/16/10,174,A
USGS,9508500,5/17/10,169,A
USGS,9508500,5/18/10,166,A
USGS,9508500,5/19/10,165,A
USGS,9508500,5/20/10,161,A
USGS,9508500,5/21/10,154,A
USGS,9508500,5/22/10,148,A
USGS,9508500,5/23/10,144,A
USGS,9508500,5/24/10,146,A
USGS,9508500,5/25/10,151,A
USGS,9508500,5/26/10,159,A
USGS,9508500,5/27/10,153,A
USGS,9508500,5/28/10,148,A
USGS,9508500,5/29/10,147,A
USGS,9508500,5/30/10,146,A
USGS,9508500,5/31/10,140,A
USGS,9508500,6/1/10,137,A
USGS,9508500,6/2/10,135,A
USGS,9508500,6/3/10,129,A
USGS,9508500,6/4/10,123,A
USGS,9508500,6/5/10,121,A
USGS,9508500,6/6/10,118,A
USGS,9508500,6/7/10,112,A
USGS,9508500,6/8/10,107,A
USGS,9508500,6/9/10,105,A
USGS,9508500,6/10/10,102,A
USGS,9508500,6/11/10,102,A
USGS,9508500,6/12/10,102,A
USGS,9508500,6/13/10,103,A
USGS,9508500,6/14/10,109,A
USGS,9508500,6/15/10,108,A
USGS,9508500,6/16/10,105,A
USGS,9508500,6/17/10,103,A
USGS,9508500,6/18/10,105,A
USGS,9508500,6/19/10,90.4,A
USGS,9508500,6/20/10,87.7,A
USGS,9508500,6/21/10,85.6,A
USGS,9508500,6/22/10,89.9,A
USGS,9508500,6/23/10,90,A:e
USGS,9508500,6/24/10,90,A:e
USGS,9508500,6/25/10,91.7,A
USGS,9508500,6/26/10,90.7,A
USGS,9508500,6/27/10,88.1,A
USGS,9508500,6/28/10,90,A:e
USGS,9508500,6/29/10,90,A:e
USGS,9508500,6/30/10,92.8,A
USGS,9508500,7/1/10,93.4,A
USGS,9508500,7/2/10,95.4,A
USGS,9508500,7/3/10,95.9,A
USGS,9508500,7/4/10,97.2,A
USGS,9508500,7/5/10,101,A
USGS,9508500,7/6/10,98.7,A
USGS,9508500,7/7/10,96.3,A
USGS,9508500,7/8/10,97.4,A
USGS,9508500,7/9/10,98.3,A
USGS,9508500,7/10/10,106,A
USGS,9508500,7/11/10,110,A
USGS,9508500,7/12/10,116,A
USGS,9508500,7/13/10,119,A
USGS,9508500,7/14/10,125,A
USGS,9508500,7/15/10,139,A
USGS,9508500,7/16/10,135,A
USGS,9508500,7/17/10,139,A
USGS,9508500,7/18/10,141,A
USGS,9508500,7/19/10,142,A
USGS,9508500,7/20/10,147,A
USGS,9508500,7/21/10,145,A
USGS,9508500,7/22/10,138,A
USGS,9508500,7/23/10,218,A
USGS,9508500,7/24/10,231,A
USGS,9508500,7/25/10,202,A
USGS,9508500,7/26/10,215,A
USGS,9508500,7/27/10,187,A
USGS,9508500,7/28/10,264,A
USGS,9508500,7/29/10,244,A
USGS,9508500,7/30/10,219,A
USGS,9508500,7/31/10,234,A
USGS,9508500,8/1/10,563,A
USGS,9508500,8/2/10,2660,A
USGS,9508500,8/3/10,1820,A
USGS,9508500,8/4/10,829,A
USGS,9508500,8/5/10,606,A
USGS,9508500,8/6/10,454,A
USGS,9508500,8/7/10,366,A
USGS,9508500,8/8/10,316,A
USGS,9508500,8/9/10,304,A
USGS,9508500,8/10/10,382,A
USGS,9508500,8/11/10,337,A
USGS,9508500,8/12/10,275,A
USGS,9508500,8/13/10,238,A
USGS,9508500,8/14/10,209,A
USGS,9508500,8/15/10,186,A
USGS,9508500,8/16/10,175,A
USGS,9508500,8/17/10,214,A
USGS,9508500,8/18/10,183,A
USGS,9508500,8/19/10,179,A
USGS,9508500,8/20/10,173,A
USGS,9508500,8/21/10,167,A
USGS,9508500,8/22/10,158,A
USGS,9508500,8/23/10,152,A
USGS,9508500,8/24/10,163,A
USGS,9508500,8/25/10,161,A
USGS,9508500,8/26/10,154,A
USGS,9508500,8/27/10,150,A
USGS,9508500,8/28/10,155,A
USGS,9508500,8/29/10,149,A
USGS,9508500,8/30/10,153,A
USGS,9508500,8/31/10,156,A
USGS,9508500,9/1/10,160,A
USGS,9508500,9/2/10,150,A:e
USGS,9508500,9/3/10,145,A
USGS,9508500,9/4/10,142,A
USGS,9508500,9/5/10,129,A
USGS,9508500,9/6/10,120,A:e
USGS,9508500,9/7/10,110,A:e
USGS,9508500,9/8/10,120,A:e
USGS,9508500,9/9/10,133,A
USGS,9508500,9/10/10,138,A
USGS,9508500,9/11/10,120,A:e
USGS,9508500,9/12/10,120,A
USGS,9508500,9/13/10,110,A:e
USGS,9508500,9/14/10,105,A:e
USGS,9508500,9/15/10,110,A:e
USGS,9508500,9/16/10,110,A:e
USGS,9508500,9/17/10,117,A
USGS,9508500,9/18/10,109,A
USGS,9508500,9/19/10,105,A:e
USGS,9508500,9/20/10,107,A
USGS,9508500,9/21/10,106,A
USGS,9508500,9/22/10,120,A
USGS,9508500,9/23/10,120,A:e
USGS,9508500,9/24/10,125,A:e
USGS,9508500,9/25/10,130,A:e
USGS,9508500,9/26/10,130,A:e
USGS,9508500,9/27/10,125,A:e
USGS,9508500,9/28/10,120,A:e
USGS,9508500,9/29/10,118,A
USGS,9508500,9/30/10,114,A
USGS,9508500,10/1/10,111,A
USGS,9508500,10/2/10,112,A
USGS,9508500,10/3/10,110,A
USGS,9508500,10/4/10,112,A
USGS,9508500,10/5/10,171,A
USGS,9508500,10/6/10,269,A
USGS,9508500,10/7/10,717,A
USGS,9508500,10/8/10,1640,A
USGS,9508500,10/9/10,592,A
USGS,9508500,10/10/10,412,A
USGS,9508500,10/11/10,325,A
USGS,9508500,10/12/10,278,A
USGS,9508500,10/13/10,246,A
USGS,9508500,10/14/10,225,A
USGS,9508500,10/15/10,215,A
USGS,9508500,10/16/10,208,A
USGS,9508500,10/17/10,194,A
USGS,9508500,10/18/10,203,A
USGS,9508500,10/19/10,186,A
USGS,9508500,10/20/10,188,A
USGS,9508500,10/21/10,203,A
USGS,9508500,10/22/10,223,A
USGS,9508500,10/23/10,275,A
USGS,9508500,10/24/10,246,A
USGS,9508500,10/25/10,244,A
USGS,9508500,10/26/10,243,A
USGS,9508500,10/27/10,225,A
USGS,9508500,10/28/10,210,A
USGS,9508500,10/29/10,206,A
USGS,9508500,10/30/10,200,A
USGS,9508500,10/31/10,192,A
USGS,9508500,11/1/10,193,A
USGS,9508500,11/2/10,188,A
USGS,9508500,11/3/10,187,A
USGS,9508500,11/4/10,186,A
USGS,9508500,11/5/10,184,A
USGS,9508500,11/6/10,176,A
USGS,9508500,11/7/10,177,A
USGS,9508500,11/8/10,184,A
USGS,9508500,11/9/10,182,A
USGS,9508500,11/10/10,186,A
USGS,9508500,11/11/10,193,A
USGS,9508500,11/12/10,195,A
USGS,9508500,11/13/10,195,A
USGS,9508500,11/14/10,201,A
USGS,9508500,11/15/10,201,A
USGS,9508500,11/16/10,201,A
USGS,9508500,11/17/10,201,A
USGS,9508500,11/18/10,203,A
USGS,9508500,11/19/10,201,A
USGS,9508500,11/20/10,198,A
USGS,9508500,11/21/10,206,A
USGS,9508500,11/22/10,217,A
USGS,9508500,11/23/10,219,A
USGS,9508500,11/24/10,244,A
USGS,9508500,11/25/10,238,A
USGS,9508500,11/26/10,226,A
USGS,9508500,11/27/10,221,A
USGS,9508500,11/28/10,219,A
USGS,9508500,11/29/10,213,A
USGS,9508500,11/30/10,211,A
USGS,9508500,12/1/10,212,A
USGS,9508500,12/2/10,216,A
USGS,9508500,12/3/10,228,A
USGS,9508500,12/4/10,228,A
USGS,9508500,12/5/10,232,A
USGS,9508500,12/6/10,232,A
USGS,9508500,12/7/10,233,A
USGS,9508500,12/8/10,237,A
USGS,9508500,12/9/10,242,A
USGS,9508500,12/10/10,250,A
USGS,9508500,12/11/10,254,A
USGS,9508500,12/12/10,252,A
USGS,9508500,12/13/10,245,A
USGS,9508500,12/14/10,245,A
USGS,9508500,12/15/10,243,A
USGS,9508500,12/16/10,253,A
USGS,9508500,12/17/10,279,A
USGS,9508500,12/18/10,291,A
USGS,9508500,12/19/10,304,A
USGS,9508500,12/20/10,295,A
USGS,9508500,12/21/10,335,A
USGS,9508500,12/22/10,368,A
USGS,9508500,12/23/10,454,A
USGS,9508500,12/24/10,3650,A
USGS,9508500,12/25/10,2350,A
