# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-16 16:22:47 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09508500 VERDE RVR BLW TANGLE CREEK, ABV HORSESHOE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09508500
#            TS   parameter     statistic     Description
#          5720       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5720_00060_00003	5720_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09508500	2010-01-01	240	A
USGS	09508500	2010-01-02	241	A
USGS	09508500	2010-01-03	239	A
USGS	09508500	2010-01-04	237	A
USGS	09508500	2010-01-05	237	A
USGS	09508500	2010-01-06	239	A
USGS	09508500	2010-01-07	239	A
USGS	09508500	2010-01-08	237	A
USGS	09508500	2010-01-09	234	A
USGS	09508500	2010-01-10	235	A
USGS	09508500	2010-01-11	236	A
USGS	09508500	2010-01-12	236	A
USGS	09508500	2010-01-13	236	A
USGS	09508500	2010-01-14	236	A
USGS	09508500	2010-01-15	234	A
USGS	09508500	2010-01-16	236	A
USGS	09508500	2010-01-17	240	A
USGS	09508500	2010-01-18	244	A
USGS	09508500	2010-01-19	261	A
USGS	09508500	2010-01-20	609	A
USGS	09508500	2010-01-21	12600	A
USGS	09508500	2010-01-22	30600	A
USGS	09508500	2010-01-23	9640	A
USGS	09508500	2010-01-24	4960	A
USGS	09508500	2010-01-25	3060	A
USGS	09508500	2010-01-26	2140	A
USGS	09508500	2010-01-27	1870	A
USGS	09508500	2010-01-28	2930	A
USGS	09508500	2010-01-29	2730	A
USGS	09508500	2010-01-30	2200	A
USGS	09508500	2010-01-31	1830	A
USGS	09508500	2010-02-01	1580	A
USGS	09508500	2010-02-02	1400	A
USGS	09508500	2010-02-03	1340	A
USGS	09508500	2010-02-04	1340	A
USGS	09508500	2010-02-05	1340	A
USGS	09508500	2010-02-06	1400	A
USGS	09508500	2010-02-07	2000	A
USGS	09508500	2010-02-08	3610	A
USGS	09508500	2010-02-09	2370	A
USGS	09508500	2010-02-10	1720	A
USGS	09508500	2010-02-11	1320	A
USGS	09508500	2010-02-12	1060	A
USGS	09508500	2010-02-13	900	A
USGS	09508500	2010-02-14	840	A
USGS	09508500	2010-02-15	901	A
USGS	09508500	2010-02-16	1080	A
USGS	09508500	2010-02-17	1220	A
USGS	09508500	2010-02-18	1320	A
USGS	09508500	2010-02-19	1230	A
USGS	09508500	2010-02-20	1250	A
USGS	09508500	2010-02-21	1340	A
USGS	09508500	2010-02-22	1460	A
USGS	09508500	2010-02-23	2090	A
USGS	09508500	2010-02-24	1360	A
USGS	09508500	2010-02-25	1040	A
USGS	09508500	2010-02-26	947	A
USGS	09508500	2010-02-27	1080	A
USGS	09508500	2010-02-28	1050	A
USGS	09508500	2010-03-01	1300	A
USGS	09508500	2010-03-02	1490	A
USGS	09508500	2010-03-03	1520	A
USGS	09508500	2010-03-04	1830	A
USGS	09508500	2010-03-05	2090	A
USGS	09508500	2010-03-06	2080	A
USGS	09508500	2010-03-07	2600	A
USGS	09508500	2010-03-08	8020	A
USGS	09508500	2010-03-09	6870	A
USGS	09508500	2010-03-10	5000	A
USGS	09508500	2010-03-11	3610	A
USGS	09508500	2010-03-12	3620	A
USGS	09508500	2010-03-13	3030	A
USGS	09508500	2010-03-14	2840	A
USGS	09508500	2010-03-15	3050	A
USGS	09508500	2010-03-16	2630	A
USGS	09508500	2010-03-17	2790	A
USGS	09508500	2010-03-18	3880	A
USGS	09508500	2010-03-19	4760	A
USGS	09508500	2010-03-20	4700	A
USGS	09508500	2010-03-21	3930	A
USGS	09508500	2010-03-22	2970	A
USGS	09508500	2010-03-23	3250	A
USGS	09508500	2010-03-24	3620	A
USGS	09508500	2010-03-25	2890	A
USGS	09508500	2010-03-26	2640	A
USGS	09508500	2010-03-27	2710	A
USGS	09508500	2010-03-28	2460	A
USGS	09508500	2010-03-29	2060	A
USGS	09508500	2010-03-30	2090	A
USGS	09508500	2010-03-31	2410	A
USGS	09508500	2010-04-01	3050	A
USGS	09508500	2010-04-02	2630	A
USGS	09508500	2010-04-03	2190	A
USGS	09508500	2010-04-04	1620	A
USGS	09508500	2010-04-05	1540	A
USGS	09508500	2010-04-06	1880	A
USGS	09508500	2010-04-07	2090	A
USGS	09508500	2010-04-08	1720	A
USGS	09508500	2010-04-09	1340	A
USGS	09508500	2010-04-10	1250	A
USGS	09508500	2010-04-11	1330	A
USGS	09508500	2010-04-12	1250	A
USGS	09508500	2010-04-13	1210	A
USGS	09508500	2010-04-14	1140	A
USGS	09508500	2010-04-15	1020	A
USGS	09508500	2010-04-16	895	A
USGS	09508500	2010-04-17	832	A
USGS	09508500	2010-04-18	766	A
USGS	09508500	2010-04-19	687	A
USGS	09508500	2010-04-20	639	A
USGS	09508500	2010-04-21	599	A
USGS	09508500	2010-04-22	535	A
USGS	09508500	2010-04-23	501	A
USGS	09508500	2010-04-24	501	A
USGS	09508500	2010-04-25	460	A
USGS	09508500	2010-04-26	415	A
USGS	09508500	2010-04-27	367	A
USGS	09508500	2010-04-28	316	A
USGS	09508500	2010-04-29	280	A
USGS	09508500	2010-04-30	274	A
USGS	09508500	2010-05-01	261	A
USGS	09508500	2010-05-02	258	A
USGS	09508500	2010-05-03	251	A
USGS	09508500	2010-05-04	239	A
USGS	09508500	2010-05-05	219	A
USGS	09508500	2010-05-06	200	A
USGS	09508500	2010-05-07	193	A
USGS	09508500	2010-05-08	188	A
USGS	09508500	2010-05-09	188	A
USGS	09508500	2010-05-10	174	A
USGS	09508500	2010-05-11	172	A
USGS	09508500	2010-05-12	172	A
USGS	09508500	2010-05-13	176	A
USGS	09508500	2010-05-14	176	A
USGS	09508500	2010-05-15	174	A
USGS	09508500	2010-05-16	174	A
USGS	09508500	2010-05-17	169	A
USGS	09508500	2010-05-18	166	A
USGS	09508500	2010-05-19	165	A
USGS	09508500	2010-05-20	161	A
USGS	09508500	2010-05-21	154	A
USGS	09508500	2010-05-22	148	A
USGS	09508500	2010-05-23	144	A
USGS	09508500	2010-05-24	146	A
USGS	09508500	2010-05-25	151	A
USGS	09508500	2010-05-26	159	A
USGS	09508500	2010-05-27	153	A
USGS	09508500	2010-05-28	148	A
USGS	09508500	2010-05-29	147	A
USGS	09508500	2010-05-30	146	A
USGS	09508500	2010-05-31	140	A
USGS	09508500	2010-06-01	137	A
USGS	09508500	2010-06-02	135	A
USGS	09508500	2010-06-03	129	A
USGS	09508500	2010-06-04	123	A
USGS	09508500	2010-06-05	121	A
USGS	09508500	2010-06-06	118	A
USGS	09508500	2010-06-07	112	A
USGS	09508500	2010-06-08	107	A
USGS	09508500	2010-06-09	105	A
USGS	09508500	2010-06-10	102	A
USGS	09508500	2010-06-11	102	A
USGS	09508500	2010-06-12	102	A
USGS	09508500	2010-06-13	103	A
USGS	09508500	2010-06-14	109	A
USGS	09508500	2010-06-15	108	A
USGS	09508500	2010-06-16	105	A
USGS	09508500	2010-06-17	103	A
USGS	09508500	2010-06-18	105	A
USGS	09508500	2010-06-19	90.4	A
USGS	09508500	2010-06-20	87.7	A
USGS	09508500	2010-06-21	85.6	A
USGS	09508500	2010-06-22	89.9	A
USGS	09508500	2010-06-23	90.0	A:e
USGS	09508500	2010-06-24	90.0	A:e
USGS	09508500	2010-06-25	91.7	A
USGS	09508500	2010-06-26	90.7	A
USGS	09508500	2010-06-27	88.1	A
USGS	09508500	2010-06-28	90.0	A:e
USGS	09508500	2010-06-29	90.0	A:e
USGS	09508500	2010-06-30	92.8	A
USGS	09508500	2010-07-01	93.4	A
USGS	09508500	2010-07-02	95.4	A
USGS	09508500	2010-07-03	95.9	A
USGS	09508500	2010-07-04	97.2	A
USGS	09508500	2010-07-05	101	A
USGS	09508500	2010-07-06	98.7	A
USGS	09508500	2010-07-07	96.3	A
USGS	09508500	2010-07-08	97.4	A
USGS	09508500	2010-07-09	98.3	A
USGS	09508500	2010-07-10	106	A
USGS	09508500	2010-07-11	110	A
USGS	09508500	2010-07-12	116	A
USGS	09508500	2010-07-13	119	A
USGS	09508500	2010-07-14	125	A
USGS	09508500	2010-07-15	139	A
USGS	09508500	2010-07-16	135	A
USGS	09508500	2010-07-17	139	A
USGS	09508500	2010-07-18	141	A
USGS	09508500	2010-07-19	142	A
USGS	09508500	2010-07-20	147	A
USGS	09508500	2010-07-21	145	A
USGS	09508500	2010-07-22	138	A
USGS	09508500	2010-07-23	218	A
