"STATION","NAME","DATE","TMAX"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-01","63"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-02","73"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-03","69"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-04","70"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-05","63"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-06","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-07","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-08","75"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-09","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-10","70"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-11","75"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-12","58"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-13","49"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-14","46"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-15","56"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-16","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-17","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-18","70"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-19","52"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-20","52"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-21","49"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-22","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-23","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-24","68"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-25","72"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-26","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-27","68"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-28","71"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-29","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-30","60"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-01-31","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-01","61"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-02","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-03","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-04","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-05","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-06","83"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-07","80"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-08","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-09","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-10","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-11","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-12","72"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-13","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-14","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-15","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-16","73"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-17","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-02-18","77"
