Date,Month,Month,Precip (in),,Month,Precip (in)
"January 1, 2010",012010,012010,0,,012010,3.985714286
"January 2, 2010",012010,012010,0,,022010,2.098928571
"January 3, 2010",012010,012010,0,,032010,1.276071429
"January 4, 2010",012010,012010,0,,042010,0.01125
"January 5, 2010",012010,012010,0,,052010,0
"January 6, 2010",012010,012010,0,,062010,0
"January 7, 2010",012010,012010,0,,072010,1.132678571
"January 8, 2010",012010,012010,0,,082010,1.02375
"January 9, 2010",012010,012010,0,,092010,0.385178571
"January 10, 2010",012010,012010,0,,102010,0.992857143
"January 11, 2010",012010,012010,0,,112010,0.1925
"January 12, 2010",012010,012010,0,,122010,1.779642857
"January 13, 2010",012010,012010,0.0125,,012011,0.025178571
"January 14, 2010",012010,012010,0.0425,,022011,1.176071429
"January 15, 2010",012010,012010,0,,032011,0.260357143
"January 16, 2010",012010,012010,0,,042011,0.491607143
"January 17, 2010",012010,012010,0,,052011,0.0275
"January 18, 2010",012010,012010,0.077142857,,062011,0
"January 19, 2010",012010,012010,0.708571429,,072011,1.145892857
"January 20, 2010",012010,012010,0.685,,082011,0.705178571
"January 21, 2010",012010,012010,1.5825,,092011,0.147678571
"January 22, 2010",012010,012010,0.66625,,102011,0.160357143
"January 23, 2010",012010,012010,0.08875,,112011,1.090178571
"January 24, 2010",012010,012010,0,,122011,1.55
"January 25, 2010",012010,012010,0,,012012,0.0325
"January 26, 2010",012010,012010,0,,022012,0.039583333
"January 27, 2010",012010,012010,0.028571429,,032012,0.6675
"January 28, 2010",012010,012010,0.071428571,,042012,0.152678571
"January 29, 2010",012010,012010,0.0225,,052012,0.083928571
"January 30, 2010",012010,012010,0,,062012,0
"January 31, 2010",012010,012010,0,,072012,1.437857143
"February 1, 2010",022010,022010,0,,082012,1.55625
"February 2, 2010",022010,022010,0,,092012,1.075357143
"February 3, 2010",022010,022010,0.01125,,102012,0.190178571
"February 4, 2010",022010,022010,0,,112012,0.230535714
"February 5, 2010",022010,022010,0,,122012,1.626428571
