Date,"24th
Street",Deer Valley,Union Hills,Val Vista,COP Plant Plant Production,Lake Pleasant,Total Production,"Val Vista to
MESA",Val Vista to Scottsdale,"Deer Valley to
Tolleson",Phoenix
1/1/18,30.1,40.32,99.62,14.24,184.28,29.17,213.45,6.85,0,1.59,205.01
1/2/18,29.9,41.48,89.35,47.79,208.52,24.68,233.2,26.65,0,1.76,204.79
1/3/18,8.4,41.5,86.73,78.7,215.32,24.34,239.66,34.64,0,2.76,202.27
1/4/18,0,40.95,84.77,103.22,228.94,25.14,254.08,34.68,0,2.43,216.97
1/5/18,0,11.03,86.57,140.18,237.77,24.63,262.4,31.66,0,2.83,227.91
1/6/18,0,0,84.11,153.87,237.98,24.8,262.78,36.07,0,3.63,223.08
1/7/18,0,0,89.81,154.19,244,24.68,268.68,33.16,0,2.62,232.9
1/8/18,0,0,84.73,134.16,218.89,25.39,244.28,28.25,0,2.36,213.67
1/9/18,0,0,79.2,124.11,203.31,25.35,228.66,31.43,0,3.03,194.19
1/10/18,0,0,73.52,127.34,200.86,24.81,225.67,29.09,0,3.05,193.53
1/11/18,0,0,77.22,124.22,201.44,24.74,226.18,29,0,3.06,194.12
1/12/18,0,0,76.55,119.78,196.32,24.85,221.17,28.73,0,2.77,189.67
1/13/18,0,0,79.59,114.66,194.25,25.28,219.53,31.72,0,2.38,185.43
1/14/18,0,0,76.15,115.64,191.79,25.15,216.94,29.61,0,3.11,184.22
1/15/18,0,0,75.63,120.64,196.27,25.12,221.39,29.91,0,2.12,189.36
1/16/18,0,0,92.06,131.59,223.65,24.67,248.32,28.84,0,2.84,216.64
1/17/18,0,0,85.64,134.47,220.11,25.54,245.65,31.09,0,2.81,211.74
1/18/18,0,0,85.66,137.82,223.48,12.75,236.23,28.93,0,2.86,204.44
1/19/18,0,0,72.4,127.85,200.25,12.02,212.27,29.63,0,3.39,179.25
1/20/18,0,0,81.45,124.34,205.79,23.51,229.3,30.89,0,2.75,195.66
1/21/18,0,0,74.29,124.94,199.23,25.81,225.04,33.45,0,2.75,188.84
1/22/18,0,0,81.08,124.99,206.07,25.68,231.75,28.55,0,2.13,201.07
1/23/18,0,0,71.17,131.83,203,26.15,229.15,29.86,0,2.85,196.44
1/24/18,0,0,74.22,138.59,212.81,40.53,253.34,29.81,0,3.04,220.5
1/25/18,0,0,96.13,143.5,239.63,0.8,240.43,29.49,0,3.38,207.55
1/26/18,0,0,80.43,137.37,217.81,30.73,248.54,29.71,0,3.14,215.68
1/27/18,0,0,81.73,145.27,226.99,31.05,258.04,31.5,0,3.23,223.32
1/28/18,0,0,76.38,141.27,217.65,31.14,248.79,29.89,0,2.59,216.31
1/29/18,0,0,73.71,139.31,213.02,34.72,247.74,28.43,0,2.73,216.57
1/30/18,0,0,78.61,139.45,218.06,35.41,253.47,28.94,0,3.77,220.76
1/31/18,0,0,80.42,138.23,218.66,36.05,254.71,29.72,0,3.45,221.54
2/1/18,0,0,74.53,132.6,207.13,26.11,233.24,29.53,0,2.92,200.8
2/2/18,0,0,80.64,129.45,210.08,26.88,236.96,29.61,0,3.56,203.79
2/3/18,0,0,80.54,126.92,207.46,25.53,232.99,25.49,0,3.29,204.22
2/4/18,0,0,83.98,133.72,217.7,25.67,243.37,21.83,0,2.62,218.92
2/5/18,0,0,86.65,131.41,218.06,25.05,243.11,21.03,0,2.27,219.81
2/6/18,0,0,87.21,128.04,215.25,0.95,216.2,20.43,0,3.6,192.17
2/7/18,0,0,92.64,128.75,221.4,26.78,248.18,27.62,0,3.13,217.43
2/8/18,0,0,97.72,129.49,227.21,22.02,249.23,30.07,0,3.22,215.95
2/9/18,0,0,96.78,140.49,237.26,25.34,262.6,38.28,0,3.14,221.19
2/10/18,0,0,94.31,149.55,243.86,25.41,269.27,40.8,0,2.91,225.56
2/11/18,0,0,83.73,147.49,231.22,25.88,257.1,43.12,0,2.85,211.13
2/12/18,27.5,0,87.05,141.39,255.94,24.65,280.59,42.38,0,2.68,235.53
2/13/18,34.9,0,78.63,115.95,229.48,26.05,255.53,36.61,0,3.27,215.64
2/14/18,34.6,0,70.56,106.13,211.29,27.05,238.34,26.47,0,3.19,208.68
2/15/18,34.8,0,71.86,97.69,204.35,27.42,231.77,23.48,0,2.89,205.4
2/16/18,35,0,56.01,91.09,182.1,25.6,207.7,22.08,0,2.95,182.68
2/17/18,32.7,0,53.04,79.16,164.89,25.48,190.37,24.15,0,2.95,163.27
2/18/18,29.9,0,56.82,75.32,162.04,25.92,187.96,23.79,0,2.47,161.7
2/19/18,29.7,0,68.61,84.72,183.03,27.08,210.11,25.03,0,2.8,182.28
2/20/18,34.8,0,72.84,95.3,202.93,25.42,228.35,23.28,0,3.03,202.05
2/21/18,34.6,0,78.01,89.81,202.42,26.16,228.58,20.77,0,3.25,204.56
2/22/18,34.9,0,79.82,103.45,218.17,25.55,243.72,24.66,0,2.93,216.13
2/23/18,35.1,0,67.59,98.23,200.92,34.34,235.26,25.04,0,3.35,206.86
2/24/18,34.9,0,69.3,89.58,193.78,35.65,229.43,25.82,0,3.2,200.41
2/25/18,34.5,0,62.71,83.09,180.3,34.76,215.06,25.17,0,2.2,187.7
2/26/18,34.6,0,69.02,82.95,186.57,36.04,222.61,24.99,0,2.48,195.14
2/27/18,35,0,76.17,90.28,201.45,24.75,226.2,26.06,0,2.84,197.29
2/28/18,34.9,0,73.17,93.56,201.63,25.39,227.02,26.25,0.01,2.94,197.82
3/1/18,34.3,0,73.27,92.13,199.7,26.11,225.81,27.6,0,3.13,195.08
3/2/18,34.5,0,76.1,93.77,204.36,26.04,230.4,27.46,0,2.99,199.96
3/3/18,35.5,0,78.63,91.83,205.95,25.79,231.74,30.68,0,2.54,198.52
3/4/18,34.5,0,76.02,96.59,207.11,25.58,232.69,29.82,0,2.4,200.47
3/5/18,30.7,29.46,66.47,84.84,211.47,24.61,236.08,26.62,0,2.67,206.79
3/6/18,22.4,51.12,70.16,93.64,237.31,26.11,263.42,27.67,0,2.85,232.9
3/7/18,35.2,41.81,67.17,88.91,233.09,26.39,259.48,29.06,0,3.12,227.3
3/8/18,34.3,40.64,66.43,79.66,221.03,25.77,246.8,30.92,0,3.22,212.67
3/9/18,35.3,41.76,70.5,72.02,219.57,24.38,243.95,29.1,0,2.94,211.91
3/10/18,35,40.85,69.49,73.12,218.46,25.66,244.12,31.74,0,3.05,209.34
3/11/18,34.1,41.23,58.49,74.5,208.32,25.22,233.54,29.15,0,2.58,201.81
3/12/18,35,40.06,57.46,73.89,206.4,25.47,231.87,29.11,0,3.19,199.57
3/13/18,35.7,40.94,60.9,81.94,219.48,25.62,245.1,28.48,0,3.31,213.31
3/14/18,55.7,59.83,0.21,82,197.74,26.63,224.37,28.97,0,3.86,191.54
3/15/18,64.5,69.7,-0.04,96.44,230.6,25.22,255.82,27.45,0,3.35,225.02
3/16/18,63.8,67.5,-0.13,87.98,219.15,24.91,244.06,29.34,0,3.45,211.27
3/17/18,64.3,71.24,-0.04,85.52,221.01,25.81,246.82,28.89,0,3.47,214.46
3/18/18,64.4,72.4,-0.04,84.45,221.21,25.28,246.49,28.87,0,2.78,214.83
3/19/18,64.8,72.25,-0.04,84.7,221.71,25.28,246.99,29.77,0,2.6,214.61
3/20/18,64.6,74.76,-0.04,93.75,233.07,25.97,259.04,31.05,0,3.02,224.97
3/21/18,65.5,80.79,-0.04,95.64,241.89,25.71,267.6,30.09,0,3.34,234.16
3/22/18,65.8,78.51,-0.04,93.84,238.11,25.2,263.31,29.78,0,3.27,230.26
3/23/18,64.7,76.16,-0.11,100.64,241.38,25.66,267.04,31.84,0,3.38,231.82
3/24/18,65.2,70.88,-0.12,88.02,223.97,25.55,249.52,30,0,3.57,215.96
3/25/18,65.5,73.23,-0.04,95.87,234.56,25.1,259.66,32.13,0,3,224.53
3/26/18,64.3,72.66,-0.12,97.72,234.56,26.12,260.68,30.37,0,2.96,227.35
3/27/18,64.7,71.29,-0.04,102.6,238.54,25.98,264.52,28.59,0,3.51,232.43
3/28/18,65.5,71.3,-0.04,107.26,244.02,25.06,269.08,27.76,0,3.49,237.82
3/29/18,62.7,70.98,0.22,115.95,249.85,27.41,277.26,27.36,0,3.47,246.43
3/30/18,59.9,69.64,0.58,120.94,251.05,27.97,279.02,29.19,0,3.37,246.46
3/31/18,59.5,68.22,2.65,120.51,250.87,27.03,277.9,29.82,0.01,3.44,244.63
4/1/18,59.6,61.33,0.72,121.02,242.67,24.7,267.37,30.21,0,2.52,234.64
4/2/18,50.2,52.4,50.72,113.22,266.54,25.29,291.83,32.85,0,2.74,256.24
4/3/18,39.8,41,72.44,103.13,256.37,24.65,281.02,33.92,0,3.83,243.27
4/4/18,32.8,50.95,78.68,105.14,267.56,24.54,292.1,31.42,0,4.22,256.46
4/5/18,48.5,41.01,84.57,112.42,286.5,25.18,311.68,32.12,0,3.82,275.74
4/6/18,60.9,13.8,87.16,112.45,274.31,25.5,299.81,34.93,0,4,260.88
4/7/18,64.1,0,94.8,111.9,270.8,25.35,296.15,34.5,0,4.31,257.33
4/8/18,65.6,0,98.89,113.56,278.05,25.66,303.71,34.73,0,3.29,265.7
4/9/18,63.6,0,97.78,111.67,273.05,25.61,298.66,30.91,0,3.63,264.12
4/10/18,64,0,99.82,112.72,276.54,25.82,302.36,28.92,0,3.3,270.14
4/11/18,64.9,0,97.41,110.8,273.1,24.32,297.42,26.66,0,3.94,266.82
4/12/18,64.5,0,104.46,112.21,281.17,23.84,305.01,23.69,0,4.34,276.97
4/13/18,64.9,0,99.45,105.68,270.04,23.67,293.71,25.66,0,3.38,264.67
4/14/18,64.8,0,101.08,101.66,267.55,23.99,291.54,27.21,0,3.58,260.75
4/15/18,64.5,0,101.78,102.69,268.96,24.37,293.33,27.79,0,2.79,262.75
4/16/18,62.4,0,102.46,101.95,266.81,24.03,290.84,25.99,0,2.69,262.17
