month,MG,service population,gpc
1/1/07,6388.78,1500000,4259.186667
2/1/07,5747.76,1500000,3831.84
3/1/07,7345.94,1500000,4897.293333
4/1/07,8214.44,1500000,5476.293333
5/1/07,10398.89,1500000,6932.593333
6/1/07,11709.74,1500000,7806.493333
7/1/07,12313.23,1500000,8208.82
8/1/07,11222.93,1500000,7481.953333
9/1/07,10600.79,1500000,7067.193333
10/1/07,9965.02,1500000,6643.346667
11/1/07,8685.08,1500000,5790.053333
12/1/07,6265.34,1500000,4176.893333
1/1/08,6316.09,1500000,4210.726667
2/1/08,5347.81,1500000,3565.206667
3/1/08,7077.06,1500000,4718.04
4/1/08,8399.74,1500000,5599.826667
5/1/08,9685.49,1500000,6456.993333
6/1/08,10685.96,1500000,7123.973333
7/1/08,10743.82,1500000,7162.546667
8/1/08,10105.61,1500000,6737.073333
9/1/08,9139.14,1500000,6092.76
10/1/08,9219.87,1500000,6146.58
11/1/08,7660.77,1500000,5107.18
12/1/08,6149.84,1500000,4099.893333
1/1/09,5990.54,1500000,3993.693333
2/1/09,5498.91,1500000,3665.94
3/1/09,7272.5,1500000,4848.333333
4/1/09,7976.44,1500000,5317.626667
5/1/09,9552.57,1500000,6368.38
6/1/09,9886.55,1500000,6591.033333
7/1/09,11103.28,1500000,7402.186667
8/1/09,10832.01,1500000,7221.34
9/1/09,9346.97,1500000,6231.313333
10/1/09,8994.15,1500000,5996.1
11/1/09,7378.75,1500000,4919.166667
12/1/09,6078.05,1500000,4052.033333
1/1/10,5497.4,1500000,3664.933333
2/1/10,5098.74,1500000,3399.16
3/1/10,5967.89,1500000,3978.593333
4/1/10,7635.39,1500000,5090.26
5/1/10,9323.82,1500000,6215.88
6/1/10,10614.43,1500000,7076.286667
7/1/10,11316.37,1500000,7544.246667
8/1/10,10082.08,1500000,6721.386667
9/1/10,9659.87,1500000,6439.913333
10/1/10,8665.83,1500000,5777.22
11/1/10,7400.71,1500000,4933.806667
12/1/10,6172.69,1500000,4115.126667
1/1/11,6145.25,1500000,4096.833333
2/1/11,5591.28,1500000,3727.52
3/1/11,6888.04,1500000,4592.026667
4/1/11,7834.14,1500000,5222.76
5/1/11,9577.58,1500000,6385.053333
6/1/11,10636.89,1500000,7091.26
7/1/11,11127.25,1500000,7418.166667
8/1/11,10994.58,1500000,7329.72
9/1/11,10113.43,1500000,6742.286667
10/1/11,9420.2,1500000,6280.133333
11/1/11,6873.36,1500000,4582.24
12/1/11,5785.51,1500000,3857.006667
1/1/12,5892.14,1500000,3928.093333
2/1/12,5813.76,1500000,3875.84
3/1/12,6656.33,1500000,4437.553333
4/1/12,7828.9,1500000,5219.266667
5/1/12,9705.42,1500000,6470.28
6/1/12,10636.89,1500000,7091.26
7/1/12,10620.64,1500000,7080.426667
8/1/12,10199.02,1500000,6799.346667
9/1/12,8739.95,1500000,5826.633333
10/1/12,9106.48,1500000,6070.986667
11/1/12,7534.74,1500000,5023.16
12/1/12,6203.85,1500000,4135.9
1/1/13,5749.06,1500000,3832.706667
2/1/13,5242.05,1500000,3494.7
3/1/13,6471.46,1500000,4314.306667
4/1/13,7649.11,1500000,5099.406667
5/1/13,9558,1500000,6372
6/1/13,10666.77,1500000,7111.18
7/1/13,10623.85,1500000,7082.566667
8/1/13,10234.85,1500000,6823.233333
9/1/13,8665.63,1500000,5777.086667
10/1/13,8888,1500000,5925.333333
11/1/13,6902.09,1500000,4601.393333
12/1/13,5940.54,1500000,3960.36
1/1/14,6001.04,1500000,4000.693333
